Item,2017,2018,2019,2020,2021
Sales/Revenue,7.75B,8.45B,8.53B,8.9B,9.86B
Sales Growth,-,8.98%,0.93%,4.43%,10.77%
Cost of Goods Sold (COGS) incl. D&A,5.19B,5.77B,5.99B,6.15B,7.04B
COGS Growth,-,11.17%,3.79%,2.70%,14.53%
COGS excluding D&A,4.32B,4.69B,4.9B,4.99B,5.7B
Depreciation & Amortization Expense,863.79M,1.07B,1.08B,1.16B,1.33B
Depreciation,773.8M,819.93M,885.28M,981.38M,1.1B
Amortization of Intangibles,89.99M,252.03M,195.38M,177.68M,231.97M
Gross Income,2.57B,2.68B,2.54B,2.76B,2.82B
Gross Income Growth,-,4.55%,-5.24%,8.51%,2.39%
Gross Profit Margin,-,-,-,-,28.62%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,676.76M,729.75M,711.04M,752.79M,829.99M
Unusual Expense,(9.7M),267.3M,209.44M,(6.1M),99.2M
EBIT after Unusual Expense,9.7M,1.68B,1.62B,2.01B,1.89B
Non Operating Income/Expense,68.91M,103.67M,65.48M,67.39M,218.98M
Non-Operating Interest Income,8.3M,18.1M,12.8M,4.8M,25.6M
Equity in Affiliates (Pretax),17.7M,19.1M,21.8M,11.8M,14.2M
Interest Expense,418.46M,496.01M,530.7M,535.95M,580.63M
Interest Expense Growth,-,18.53%,6.99%,0.99%,8.34%
Gross Interest Expense,418.46M,496.01M,556.3M,559.65M,599.03M
Interest Capitalized,-,-,25.6M,23.7M,18.4M
Pretax Income,1.57B,1.33B,1.19B,1.56B,1.57B
Pretax Income Growth,-,-15.56%,-10.49%,30.99%,0.86%
Pretax Margin,-,-,-,-,15.94%
Income Tax,578.89M,288.97M,273.5M,346.19M,344.22M
Income Tax - Current Domestic,87.26M,114.16M,63.69M,89M,(2.9M)
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,491.63M,174.81M,209.81M,257.19M,347.12M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,995.52M,1.04B,916.57M,1.21B,1.23B
Minority Interest Expense,7.52M,7.52M,7.52M,7.52M,7.52M
Net Income,988M,1.03B,909.05M,1.21B,1.22B
Net Income Growth,-,4.56%,-12.00%,32.57%,1.27%
Net Margin Growth,-,-,-,-,12.37%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,988M,1.03B,909.05M,1.21B,1.22B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,988M,1.03B,909.05M,1.21B,1.22B
EPS (Basic),3.11,3.25,2.83,3.56,3.55
EPS (Basic) Growth,-,4.57%,-13.11%,25.76%,-0.24%
Basic Shares Outstanding,317.41M,317.37M,321.42M,338.84M,343.97M
EPS (Diluted),3.11,3.25,2.81,3.55,3.54
EPS (Diluted) Growth,-,4.57%,-13.35%,25.98%,-0.13%
Diluted Shares Outstanding,318.03M,317.99M,322.94M,339.85M,344.63M
EBITDA,2.75B,3.02B,2.91B,3.16B,3.33B
EBITDA Growth,-,9.88%,-3.74%,8.69%,5.20%
EBITDA Margin,-,-,-,-,33.74%
