Item,2017,2018,2019,2020,2021
Sales/Revenue,10.06B,11.22B,12.07B,5.2B,8.6B
Sales Growth,-,11.56%,7.52%,-56.92%,65.38%
Cost of Goods Sold (COGS) incl. D&A,2.55B,2.82B,2.9B,2.57B,2.34B
COGS Growth,-,10.85%,2.66%,-11.21%,-9.21%
COGS excluding D&A,1.66B,1.86B,1.99B,1.68B,1.52B
Depreciation & Amortization Expense,889.54M,959M,910M,893M,814M
Depreciation,614.1M,676M,712M,739M,715M
Amortization of Intangibles,275.45M,283M,198M,154M,99M
Gross Income,7.51B,8.4B,9.17B,2.63B,6.26B
Gross Income Growth,-,11.80%,9.15%,-71.36%,138.46%
Gross Profit Margin,-,-,-,-,72.83%
SG&A Expense,6.85B,7.62B,8.21B,4.15B,6B
SGA Growth,-,11.26%,7.76%,-49.40%,44.47%
Research & Development,941.7M,1.12B,1.23B,1.01B,1.07B
Other SG&A,5.9B,6.5B,6.98B,3.14B,-
Other Operating Expense,-,-,34M,12M,1M
Unusual Expense,39.47M,22M,22M,1.25B,383M
EBIT after Unusual Expense,627.82M,761M,905M,(2.79B),(122M)
Non Operating Income/Expense,(63.71M),(191M),(16M),(24M),426M
Non-Operating Interest Income,34.14M,71M,59M,18M,9M
Equity in Affiliates (Pretax),232K,34M,-,-,-
Interest Expense,181.71M,190M,173M,360M,351M
Interest Expense Growth,-,4.56%,-8.95%,108.09%,-2.50%
Gross Interest Expense,181.71M,190M,173M,360M,351M
Interest Capitalized,-,-,-,-,-
Pretax Income,416.76M,485M,775M,(3.15B),(38M)
Pretax Income Growth,-,16.37%,59.79%,-506.58%,98.79%
Pretax Margin,-,-,-,-,-0.44%
Income Tax,45.41M,87M,203M,(423M),(53M)
Income Tax - Current Domestic,18.53M,228M,96M,(31M),24M
Income Tax - Current Foreign,130.18M,167M,198M,96M,68M
Income Tax - Deferred Domestic,(94.73M),(298M),(62M),(380M),(156M)
Income Tax - Deferred Foreign,(8.58M),(10M),(29M),(108M),11M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,371.36M,398M,572M,(2.73B),15M
Minority Interest Expense,(6.61M),(8M),7M,(116M),3M
Net Income,377.96M,406M,565M,(2.61B),12M
Net Income Growth,-,7.42%,39.16%,-562.30%,100.46%
Net Margin Growth,-,-,-,-,0.14%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,377.96M,406M,565M,(2.61B),12M
Preferred Dividends,-,-,-,75M,281M
Net Income Available to Common,377.96M,406M,565M,(2.69B),(269M)
EPS (Basic),2.49,2.71,3.84,(19),(1.8)
EPS (Basic) Growth,-,8.84%,41.64%,-595.01%,90.55%
Basic Shares Outstanding,151.62M,149.96M,147.19M,141.41M,149.73M
EPS (Diluted),2.42,2.66,3.77,(19),(1.8)
EPS (Diluted) Growth,-,9.73%,41.95%,-604.06%,90.55%
Diluted Shares Outstanding,156.39M,152.89M,149.88M,141.41M,149.73M
EBITDA,1.56B,1.74B,1.84B,(646M),1.08B
EBITDA Growth,-,11.89%,5.45%,-135.17%,266.41%
EBITDA Margin,-,-,-,-,12.50%
