Item,2017,2018,2019,2020,2021
Sales/Revenue,8.67B,8.42B,10.33B,12.55B,13.88B
Sales Growth,-,-2.83%,22.68%,21.47%,10.56%
Cost of Goods Sold (COGS) incl. D&A,5.79B,5.57B,6.61B,8.35B,8.68B
COGS Growth,-,-3.88%,18.69%,26.29%,4.00%
COGS excluding D&A,4.43B,4.15B,4.17B,4.63B,4.67B
Depreciation & Amortization Expense,1.37B,1.42B,2.44B,3.71B,4.02B
Depreciation,158M,170M,200M,252M,257M
Amortization of Intangibles,1.11B,1.13B,2.06B,3.24B,3.42B
Gross Income,2.87B,2.85B,3.72B,4.2B,5.2B
Gross Income Growth,-,-0.70%,30.45%,12.92%,23.57%
Gross Profit Margin,-,-,-,-,37.44%
SG&A Expense,1.26B,1.15B,1.96B,2.66B,3.09B
SGA Growth,-,-9.41%,71.44%,35.40%,16.37%
Research & Development,-,-,-,-,-
Other SG&A,1.26B,1.15B,1.96B,2.66B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,374M,251M,805M,1.03B,1.57B
EBIT after Unusual Expense,(374M),1.46B,955M,519.2M,536M
Non Operating Income/Expense,76M,(58M),(207M),80.8M,467M
Non-Operating Interest Income,22M,17M,52M,5M,2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,358M,313M,387M,339M,216M
Interest Expense Growth,-,-12.57%,23.64%,-12.40%,-36.28%
Gross Interest Expense,358M,313M,387M,339M,216M
Interest Capitalized,-,-,-,-,-
Pretax Income,976M,1.1B,413M,266M,789M
Pretax Income Growth,-,13.11%,-62.59%,-35.59%,196.62%
Pretax Margin,-,-,-,-,5.69%
Income Tax,(321M),208M,100M,96M,371M
Income Tax - Current Domestic,557M,219M,99M,131M,288M
Income Tax - Current Foreign,127M,105M,116M,176M,172M
Income Tax - Deferred Domestic,(1B),(106M),(40M),(81M),(129M)
Income Tax - Deferred Foreign,(2M),(10M),(75M),(130M),40M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(3M),(15M),(10M),(6M),6M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.29B,881M,303M,164M,424M
Minority Interest Expense,33M,35M,5M,6M,7M
Net Income,1.26B,846M,298M,158M,417M
Net Income Growth,-,-32.91%,-64.78%,-46.98%,163.92%
Net Margin Growth,-,-,-,-,3.00%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.26B,846M,298M,158M,417M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.26B,846M,298M,158M,417M
EPS (Basic),3.82,2.58,0.67,0.26,0.68
EPS (Basic) Growth,-,-32.46%,-74.04%,-61.89%,165.28%
Basic Shares Outstanding,330M,328M,445M,619M,616M
EPS (Diluted),3.75,2.55,0.66,0.25,0.67
EPS (Diluted) Growth,-,-32.00%,-74.09%,-61.86%,166.47%
Diluted Shares Outstanding,336M,332M,451M,627M,621M
EBITDA,2.98B,3.13B,4.2B,5.26B,6.12B
EBITDA Growth,-,5.14%,34.36%,25.12%,16.31%
EBITDA Margin,-,-,-,-,44.09%
