Item,2017,2018,2019,2020,2021
Sales/Revenue,156.78B,160.34B,155.9B,127.14B,136.34B
Sales Growth,-,2.27%,-2.77%,-18.45%,7.23%
Cost of Goods Sold (COGS) incl. D&A,132.82B,137.58B,136.79B,114.43B,111.79B
COGS Growth,-,3.58%,-0.58%,-16.35%,-2.30%
COGS excluding D&A,124.37B,129.27B,128.3B,106.97B,105.83B
Depreciation & Amortization Expense,8.45B,8.31B,8.49B,7.46B,5.96B
Depreciation,9.12B,9.28B,9.69B,8.75B,7.32B
Amortization of Intangibles,(669M),(972M),(1.2B),(1.29B),(1.36B)
Gross Income,23.95B,22.76B,19.11B,12.72B,24.55B
Gross Income Growth,-,-4.99%,-16.02%,-33.46%,93.05%
Gross Profit Margin,-,-,-,-,18.00%
SG&A Expense,19.53B,19.6B,18.56B,17.29B,19.52B
SGA Growth,-,0.39%,-5.32%,-6.83%,12.85%
Research & Development,8B,8.2B,7.4B,7.1B,7.6B
Other SG&A,11.53B,11.4B,11.16B,10.19B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,197M,(24M),181M,(4.03B),1.8B
EBIT after Unusual Expense,(197M),3.18B,368M,(545M),3.23B
Non Operating Income/Expense,3.68B,1.62B,(829M),584M,15.77B
Non-Operating Interest Income,459M,667M,809M,452M,254M
Equity in Affiliates (Pretax),1.2B,123M,32M,42M,327M
Interest Expense,1.41B,1.24B,1.02B,1.65B,1.8B
Interest Expense Growth,-,-12.01%,-17.61%,61.67%,9.34%
Gross Interest Expense,1.41B,1.24B,1.02B,1.65B,1.8B
Interest Capitalized,-,-,-,-,-
Pretax Income,8.16B,4.35B,(640M),(1.12B),17.78B
Pretax Income Growth,-,-46.75%,-114.73%,-74.38%,"1,693.19%"
Pretax Margin,-,-,-,-,13.04%
Income Tax,402M,650M,(724M),160M,(130M)
Income Tax - Current Domestic,(40M),69M,(68M),(68M),128M
Income Tax - Current Foreign,868M,690M,738M,554M,598M
Income Tax - Deferred Domestic,(1.02B),(348M),(1.32B),(494M),2.4B
Income Tax - Deferred Foreign,593M,239M,(70M),168M,(3.25B)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,7.76B,3.7B,84M,(1.28B),17.91B
Minority Interest Expense,26M,18M,37M,3M,(27M)
Net Income,7.73B,3.68B,47M,(1.28B),17.94B
Net Income Growth,-,-52.44%,-98.72%,"-2,821.28%","1,502.42%"
Net Margin Growth,-,-,-,-,13.16%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,7.73B,3.68B,47M,(1.28B),17.94B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,7.73B,3.68B,47M,(1.28B),17.94B
EPS (Basic),1.94,0.93,0.01,(0.32),4.49
EPS (Basic) Growth,-,-52.06%,-98.73%,"-2,827.97%","1,496.21%"
Basic Shares Outstanding,3.98B,3.97B,3.97B,3.97B,3.99B
EPS (Diluted),1.93,0.92,0.01,(0.32),4.45
EPS (Diluted) Growth,-,-52.33%,-98.73%,"-2,851.28%","1,481.33%"
Diluted Shares Outstanding,4B,4B,4B,3.97B,4.03B
EBITDA,12.88B,11.46B,9.04B,2.88B,10.99B
EBITDA Growth,-,-11.00%,-21.13%,-68.14%,281.70%
EBITDA Margin,-,-,-,-,8.06%
