Item,2017,2018,2019,2020,2021
Sales/Revenue,10.43B,11.22B,11.49B,11.8B,13.02B
Sales Growth,-,7.64%,2.36%,2.71%,10.38%
Cost of Goods Sold (COGS) incl. D&A,6.4B,6.97B,7.17B,7.62B,8.37B
COGS Growth,-,8.78%,2.90%,6.31%,9.79%
COGS excluding D&A,6.14B,6.71B,6.94B,7.44B,8.18B
Depreciation & Amortization Expense,259M,254M,228M,176M,186M
Depreciation,170M,162M,150M,116M,123M
Amortization of Intangibles,89M,92M,78M,60M,63M
Gross Income,4.02B,4.26B,4.32B,4.18B,4.66B
Gross Income Growth,-,5.82%,1.48%,-3.26%,11.46%
Gross Profit Margin,-,-,-,-,35.76%
SG&A Expense,2.87B,2.91B,2.93B,3.07B,3.11B
SGA Growth,-,1.43%,0.69%,4.64%,1.37%
Research & Development,-,-,-,-,-
Other SG&A,2.87B,2.91B,2.93B,3.07B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,116M,186M,125M,204M,20M
EBIT after Unusual Expense,(116M),1.16B,1.26B,906M,1.53B
Non Operating Income/Expense,24M,24M,26M,134M,25M
Non-Operating Interest Income,3M,6M,-,-,-
Equity in Affiliates (Pretax),(37M),(19M),-,-,-
Interest Expense,89M,88M,79M,93M,67M
Interest Expense Growth,-,-1.12%,-10.23%,17.72%,-27.96%
Gross Interest Expense,91M,98M,88M,97M,68M
Interest Capitalized,2M,10M,9M,4M,1M
Pretax Income,936M,1.08B,1.21B,947M,1.49B
Pretax Income Growth,-,15.49%,11.84%,-21.67%,56.81%
Pretax Margin,-,-,-,-,11.40%
Income Tax,313M,258M,314M,192M,371M
Income Tax - Current Domestic,277M,198M,243M,147M,267M
Income Tax - Current Foreign,22M,47M,58M,65M,81M
Income Tax - Deferred Domestic,14M,13M,13M,(20M),23M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(5M),(6M),-,-,-
Consolidated Net Income,618M,817M,895M,755M,1.11B
Minority Interest Expense,37M,41M,46M,60M,71M
Net Income,581M,776M,849M,695M,1.04B
Net Income Growth,-,33.56%,9.41%,-18.14%,50.07%
Net Margin Growth,-,-,-,-,8.01%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,581M,776M,849M,695M,1.04B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,581M,776M,849M,695M,1.04B
EPS (Basic),10.07,13.82,15.52,12.99,20.1
EPS (Basic) Growth,-,37.21%,12.29%,-16.30%,54.70%
Basic Shares Outstanding,57.67M,56.14M,54.7M,53.5M,51.9M
EPS (Diluted),10.02,13.73,15.46,12.94,19.98
EPS (Diluted) Growth,-,36.99%,12.66%,-16.31%,54.38%
Diluted Shares Outstanding,57.98M,56.53M,54.9M,53.7M,52.2M
EBITDA,1.41B,1.6B,1.62B,1.29B,1.73B
EBITDA Growth,-,13.33%,1.06%,-20.37%,34.76%
EBITDA Margin,-,-,-,-,13.31%
