Item,2017,2018,2019,2020,2021
Sales/Revenue,9.74B,11.88B,12.51B,11.63B,13.09B
Sales Growth,-,21.98%,5.30%,-7.01%,12.55%
Cost of Goods Sold (COGS) incl. D&A,6.16B,7.58B,7.95B,7.3B,8.03B
COGS Growth,-,23.05%,4.87%,-8.11%,9.93%
COGS excluding D&A,5.93B,7.28B,7.63B,7B,7.74B
Depreciation & Amortization Expense,231M,294M,314.12M,299.5M,284M
Depreciation,129M,157M,174M,180.23M,179.62M
Amortization of Intangibles,102M,137M,140.12M,119.27M,104.38M
Gross Income,3.58B,4.3B,4.56B,4.33B,5.06B
Gross Income Growth,-,20.13%,6.05%,-5.11%,16.97%
Gross Profit Margin,-,-,-,-,38.68%
SG&A Expense,2.72B,3.35B,3.58B,3.27B,3.57B
SGA Growth,-,23.47%,6.84%,-8.77%,9.23%
Research & Development,-,-,-,-,-
Other SG&A,2.72B,3.35B,3.58B,3.27B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,20.13M,67.02M,78.08M,82.79M,45.67M
EBIT after Unusual Expense,(20.13M),880.89M,901M,977.48M,1.45B
Non Operating Income/Expense,(46.22M),24.92M,50.19M,18.33M,23.28M
Non-Operating Interest Income,76.95M,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,108.64M,162.38M,160.17M,110.81M,71.43M
Interest Expense Growth,-,49.46%,-1.36%,-30.82%,-35.54%
Gross Interest Expense,108.64M,162.38M,160.17M,110.81M,71.43M
Interest Capitalized,-,-,-,-,-
Pretax Income,766.63M,743.43M,791.02M,885M,1.4B
Pretax Income Growth,-,-3.03%,6.40%,11.88%,58.09%
Pretax Margin,-,-,-,-,10.69%
Income Tax,235.56M,191.4M,215.33M,249.5M,330.59M
Income Tax - Current Domestic,223.97M,116.07M,126.76M,193.87M,242.03M
Income Tax - Current Foreign,58.12M,77.51M,81.08M,89.12M,115.66M
Income Tax - Deferred Domestic,(33.44M),19.36M,28.55M,(13.33M),(2.17M)
Income Tax - Deferred Foreign,(13.1M),(21.54M),(21.06M),(20.17M),(24.93M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,5.91M,(64.47M),(32.28M),5.01M,22.94M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,536.97M,487.57M,543.42M,640.51M,1.09B
Minority Interest Expense,(3.52M),3.05M,3.77M,1.89M,1.25M
Net Income,540.49M,484.52M,539.64M,638.62M,1.09B
Net Income Growth,-,-10.36%,11.38%,18.34%,70.72%
Net Margin Growth,-,-,-,-,8.33%
Extraordinaries & Discontinued Operations,(6.75M),(4.4M),1.62M,(198K),-
Extra Items & Gain/Loss Sale Of Assets,(6.5M),(4.4M),-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(251K),-,1.62M,(198K),648K
Net Income After Extraordinaries,533.74M,480.12M,541.26M,638.42M,1.09B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,540.24M,484.52M,541.26M,638.42M,1.09B
EPS (Basic),1.75,1.54,1.75,2.1,3.68
EPS (Basic) Growth,-,-11.98%,13.25%,20.09%,75.36%
Basic Shares Outstanding,308.61M,314.43M,310.16M,304.64M,296.84M
EPS (Diluted),1.74,1.53,1.74,2.09,3.66
EPS (Diluted) Growth,-,-11.79%,13.47%,20.26%,75.05%
Diluted Shares Outstanding,310.65M,315.85M,310.97M,305.01M,297.72M
EBITDA,1.1B,1.24B,1.29B,1.36B,1.78B
EBITDA Growth,-,13.35%,4.13%,5.15%,30.68%
EBITDA Margin,-,-,-,-,13.58%
