Item,2017,2018,2019,2020,2021
Sales/Revenue,22.87B,21.49B,22.32B,24.54B,28.32B
Sales Growth,-,-6.03%,3.84%,9.95%,15.40%
Cost of Goods Sold (COGS) incl. D&A,6.07B,4.68B,4.72B,5.48B,7.31B
COGS Growth,-,-22.87%,0.84%,16.14%,33.36%
COGS excluding D&A,4.5B,3.07B,3.49B,4.16B,5.77B
Depreciation & Amortization Expense,1.57B,1.61B,1.23B,1.32B,1.55B
Depreciation,883.9M,1.25B,1.01B,895.7M,918.8M
Amortization of Intangibles,683.4M,361.3M,225.8M,428.2M,628.8M
Gross Income,16.8B,16.81B,17.6B,19.06B,21.01B
Gross Income Growth,-,0.06%,4.68%,8.29%,10.23%
Gross Profit Margin,-,-,-,-,74.18%
SG&A Expense,11.87B,11.03B,11.81B,12.21B,13.46B
SGA Growth,-,-7.11%,7.10%,3.37%,10.25%
Research & Development,5.28B,5.05B,5.6B,6.09B,7.03B
Other SG&A,6.59B,5.98B,6.21B,6.12B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,2.88B,2.15B,1.02B,565.5M,1.84B
EBIT after Unusual Expense,(2.88B),(2.15B),4.77B,6.28B,5.71B
Non Operating Income/Expense,208M,128.8M,819.5M,1.27B,764.4M
Non-Operating Interest Income,167.3M,159.3M,80.4M,33M,25.4M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,225M,242.5M,400.6M,359.6M,339.8M
Interest Expense Growth,-,7.78%,65.20%,-10.23%,-5.51%
Gross Interest Expense,282.3M,242.5M,400.6M,359.6M,339.8M
Interest Capitalized,57.3M,-,-,-,-
Pretax Income,2.2B,3.68B,5.27B,7.23B,6.16B
Pretax Income Growth,-,67.48%,43.09%,37.30%,-14.86%
Pretax Margin,-,-,-,-,21.74%
Income Tax,2.4B,529.5M,628M,1.04B,573.8M
Income Tax - Current Domestic,3.15B,174.3M,265.8M,520.3M,910.1M
Income Tax - Current Foreign,38.5M,106.8M,299.8M,650.4M,466M
Income Tax - Deferred Domestic,(531.6M),(300K),86.5M,(117.9M),(976.9M)
Income Tax - Deferred Foreign,(256.3M),248.7M,(24.1M),(16.6M),174.6M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(204.1M),3.15B,4.64B,6.19B,5.58B
Minority Interest Expense,-,-,-,-,-
Net Income,(204.1M),3.15B,4.64B,6.19B,5.58B
Net Income Growth,-,"1,643.66%",47.21%,33.55%,-9.88%
Net Margin Growth,-,-,-,-,19.71%
Extraordinaries & Discontinued Operations,-,81.4M,3.68B,-,-
Extra Items & Gain/Loss Sale Of Assets,-,81.4M,3.68B,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(204.1M),3.23B,8.32B,6.19B,5.58B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(204.1M),3.15B,4.64B,6.19B,5.58B
EPS (Basic),(0.19),3.07,4.98,6.82,6.15
EPS (Basic) Growth,-,"1,713.47%",62.49%,36.99%,-9.81%
Basic Shares Outstanding,1.05B,1.03B,931.06M,907.63M,906.96M
EPS (Diluted),(0.19),3.05,4.96,6.79,6.12
EPS (Diluted) Growth,-,"1,704.21%",62.62%,36.94%,-9.80%
Diluted Shares Outstanding,1.05B,1.03B,935.68M,912.51M,911.68M
EBITDA,6.5B,7.39B,7.02B,8.17B,9.1B
EBITDA Growth,-,13.78%,-5.03%,16.40%,11.28%
EBITDA Margin,-,-,-,-,32.12%
