Item,2018,2019,2020,2021,2022
Sales/Revenue,68.62B,71.31B,72.15B,89.6B,96.25B
Sales Growth,-,3.92%,1.18%,24.19%,7.43%
Cost of Goods Sold (COGS) incl. D&A,47.59B,49.88B,50.47B,61.42B,65.86B
COGS Growth,-,4.81%,1.18%,21.71%,7.22%
COGS excluding D&A,46.05B,48.27B,48.59B,59.35B,63.46B
Depreciation & Amortization Expense,1.54B,1.61B,1.88B,2.07B,2.4B
Depreciation,1.4B,1.48B,1.73B,1.98B,2.37B
Amortization of Intangibles,136M,130M,148M,94M,32M
Gross Income,21.03B,21.43B,21.68B,28.17B,30.39B
Gross Income Growth,-,1.91%,1.17%,29.94%,7.88%
Gross Profit Margin,-,-,-,-,31.58%
SG&A Expense,14.44B,15.33B,15.1B,17.29B,18.14B
SGA Growth,-,6.11%,-1.46%,14.49%,4.90%
Research & Development,-,-,-,-,-
Other SG&A,14.44B,15.33B,15.1B,17.29B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,464M,2.09B,265M,2.3B,162M
EBIT after Unusual Expense,(464M),4.02B,6.31B,8.59B,12.09B
Non Operating Income/Expense,3M,(3M),-,-,(38M)
Non-Operating Interest Income,16M,28M,27M,24M,12M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,652M,649M,718M,872M,859M
Interest Expense Growth,-,-0.46%,10.63%,21.45%,-1.49%
Gross Interest Expense,657M,652M,719M,872M,862M
Interest Capitalized,5M,3M,1M,-,3M
Pretax Income,5.49B,3.39B,5.62B,7.74B,11.21B
Pretax Income Growth,-,-38.17%,65.67%,37.63%,44.82%
Pretax Margin,-,-,-,-,11.64%
Income Tax,2.04B,1.08B,1.34B,1.9B,2.77B
Income Tax - Current Domestic,1.99B,1.24B,1.2B,2B,2.63B
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,56M,(157M),139M,(99M),140M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(11M),(7M),(13M),(24M),(33M)
Consolidated Net Income,3.44B,2.31B,4.27B,5.81B,8.41B
Minority Interest Expense,-,-,-,-,-
Net Income,3.44B,2.31B,4.27B,5.81B,8.41B
Net Income Growth,-,-32.86%,85.00%,36.15%,44.71%
Net Margin Growth,-,-,-,-,8.74%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.44B,2.31B,4.27B,5.81B,8.41B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,3.44B,2.31B,4.27B,5.81B,8.41B
EPS (Basic),4.1,2.84,5.49,7.77,12.08
EPS (Basic) Growth,-,-30.54%,93.10%,41.43%,55.52%
Basic Shares Outstanding,839M,811M,777M,748M,696M
EPS (Diluted),4.09,2.84,5.49,7.75,12.03
EPS (Diluted) Growth,-,-30.56%,93.17%,41.23%,55.27%
Diluted Shares Outstanding,840M,812M,778M,750M,699M
EBITDA,8.13B,7.71B,8.46B,12.96B,14.65B
EBITDA Growth,-,-5.09%,9.66%,53.19%,13.11%
EBITDA Margin,-,-,-,-,15.22%
