Item,2017,2018,2019,2020,2021
Sales/Revenue,19.49B,19.63B,19.8B,20.84B,21.11B
Sales Growth,-,0.68%,0.86%,5.28%,1.30%
Cost of Goods Sold (COGS) incl. D&A,7.49B,7.52B,7.08B,7.77B,7.12B
COGS Growth,-,0.36%,-5.79%,9.67%,-8.35%
COGS excluding D&A,7.28B,7.29B,6.86B,7.51B,6.88B
Depreciation & Amortization Expense,209M,227M,226M,257M,244M
Depreciation,188M,189M,182M,185M,172M
Amortization of Intangibles,21M,38M,44M,72M,72M
Gross Income,12B,12.11B,12.71B,13.07B,13.99B
Gross Income Growth,-,0.88%,4.99%,2.83%,7.03%
Gross Profit Margin,-,-,-,-,66.28%
SG&A Expense,2.27B,2.64B,2.15B,2.08B,2.26B
SGA Growth,-,16.64%,-18.50%,-3.67%,8.87%
Research & Development,241M,252M,168M,131M,145M
Other SG&A,2.03B,2.39B,1.99B,1.94B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(275M),384M,10.28B,2.87B,979M
EBIT after Unusual Expense,275M,(384M),284M,8.13B,10.75B
Non Operating Income/Expense,(37M),34M,37M,77M,202M
Non-Operating Interest Income,31M,32M,42M,14M,26M
Equity in Affiliates (Pretax),532M,890M,1.73B,(111M),(5.98B)
Interest Expense,710M,697M,1.32B,1.22B,1.18B
Interest Expense Growth,-,-1.83%,89.67%,-7.79%,-3.28%
Gross Interest Expense,710M,697M,1.32B,1.22B,1.18B
Interest Capitalized,-,-,-,-,-
Pretax Income,9.83B,9.34B,766M,6.89B,3.82B
Pretax Income Growth,-,-4.96%,-91.80%,799.48%,-44.50%
Pretax Margin,-,-,-,-,18.11%
Income Tax,(399M),2.37B,2.06B,2.44B,1.35B
Income Tax - Current Domestic,2.71B,2.43B,2.16B,2.58B,2.51B
Income Tax - Current Foreign,15M,1M,3M,22M,2M
Income Tax - Deferred Domestic,(3.13B),(60M),(97M),(164M),(1.16B)
Income Tax - Deferred Foreign,1M,3M,2M,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(14M),(8M),(7M),(8M),(11M)
Consolidated Net Income,10.21B,6.96B,(1.31B),4.45B,2.46B
Minority Interest Expense,5M,4M,(5M),(13M),-
Net Income,10.21B,6.96B,(1.3B),4.46B,2.46B
Net Income Growth,-,-31.87%,-118.69%,443.00%,-44.74%
Net Margin Growth,-,-,-,-,11.67%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,10.21B,6.96B,(1.3B),4.46B,2.46B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,10.21B,6.96B,(1.3B),4.46B,2.46B
EPS (Basic),5.31,3.69,(0.7),2.4,1.34
EPS (Basic) Growth,-,-30.59%,-118.87%,445.01%,-44.35%
Basic Shares Outstanding,1.92B,1.89B,1.87B,1.86B,1.85B
EPS (Diluted),5.31,3.68,(0.7),2.4,1.34
EPS (Diluted) Growth,-,-30.63%,-118.88%,444.82%,-44.32%
Diluted Shares Outstanding,1.92B,1.89B,1.87B,1.86B,1.85B
EBITDA,9.95B,9.69B,10.79B,11.26B,11.98B
EBITDA Growth,-,-2.54%,11.27%,4.36%,6.41%
EBITDA Margin,-,-,-,-,56.73%
