Item,2017,2018,2019,2020,2021
Sales/Revenue,2.07B,2.25B,2.19B,2.12B,2.36B
Sales Growth,-,9.08%,-2.68%,-3.33%,11.37%
Cost of Goods Sold (COGS) incl. D&A,927.98M,1.02B,1B,990.63M,1.04B
COGS Growth,-,9.74%,-1.59%,-1.15%,4.79%
COGS excluding D&A,837.13M,909.93M,891.88M,877.33M,934.25M
Depreciation & Amortization Expense,90.85M,108.41M,110.24M,113.3M,103.88M
Depreciation,45.95M,52.96M,55.45M,56.32M,53.33M
Amortization of Intangibles,44.91M,55.45M,54.79M,56.98M,50.55M
Gross Income,1.14B,1.24B,1.19B,1.13B,1.32B
Gross Income Growth,-,8.54%,-3.58%,-5.17%,17.13%
Gross Profit Margin,-,-,-,-,56.05%
SG&A Expense,664.19M,733.75M,708.99M,693.55M,708.95M
SGA Growth,-,10.47%,-3.37%,-2.18%,2.22%
Research & Development,52.46M,58.81M,60.02M,63.59M,59.42M
Other SG&A,611.73M,674.94M,648.97M,629.96M,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,17.8M,(3.65M),(142K),88.9M,5.93M
EBIT after Unusual Expense,457.02M,3.65M,483.26M,348.01M,609.2M
Non Operating Income/Expense,(1.25M),(9.51M),(6.85M),(16.05M),(11.68M)
Non-Operating Interest Income,1.12M,1.38M,1.84M,1.68M,2.15M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,36.6M,49.58M,47.15M,32.16M,25.49M
Interest Expense Growth,-,35.45%,-4.90%,-31.78%,-20.74%
Gross Interest Expense,36.6M,49.58M,47.15M,32.16M,25.49M
Interest Capitalized,-,-,-,-,-
Pretax Income,420.29M,448.52M,431.1M,301.49M,574.18M
Pretax Income Growth,-,6.72%,-3.88%,-30.07%,90.45%
Pretax Margin,-,-,-,-,24.31%
Income Tax,124.49M,71.14M,94.01M,51.95M,119.81M
Income Tax - Current Domestic,58.61M,41.57M,43.44M,20.25M,46.41M
Income Tax - Current Foreign,66.35M,63.52M,51.59M,45.66M,69.33M
Income Tax - Deferred Domestic,4.76M,(31.94M),2.1M,(11.17M),8.1M
Income Tax - Deferred Foreign,(5.23M),(2.01M),(3.12M),(2.79M),(4.03M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,295.8M,377.38M,337.09M,249.54M,454.37M
Minority Interest Expense,-,-,-,-,-
Net Income,295.8M,377.38M,337.09M,249.54M,454.37M
Net Income Growth,-,27.58%,-10.67%,-25.97%,82.08%
Net Margin Growth,-,-,-,-,19.23%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,295.8M,377.38M,337.09M,249.54M,454.37M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,295.8M,377.38M,337.09M,249.54M,454.37M
EPS (Basic),5.14,6.51,5.87,4.32,7.82
EPS (Basic) Growth,-,26.65%,-9.89%,-26.35%,81.04%
Basic Shares Outstanding,57.53M,57.97M,57.46M,57.76M,58.09M
EPS (Diluted),5.08,6.4,5.79,4.27,7.74
EPS (Diluted) Growth,-,26.06%,-9.56%,-26.32%,81.27%
Diluted Shares Outstanding,58.2M,58.93M,58.2M,58.47M,58.73M
EBITDA,565.67M,610.99M,593.36M,550.22M,719.01M
EBITDA Growth,-,8.01%,-2.89%,-7.27%,30.68%
EBITDA Margin,-,-,-,-,30.44%
