Item,2017,2018,2019,2020,2021
Sales/Revenue,38.15B,40.03B,42.43B,43.19B,47.05B
Sales Growth,-,4.94%,5.98%,1.78%,8.95%
Cost of Goods Sold (COGS) incl. D&A,32.95B,34.74B,37.37B,37.29B,40.2B
COGS Growth,-,5.41%,7.57%,-0.20%,7.80%
COGS excluding D&A,32.21B,33.81B,36.28B,36.11B,39.01B
Depreciation & Amortization Expense,749M,933M,1.09B,1.18B,1.2B
Depreciation,642M,723M,819M,900M,934M
Amortization of Intangibles,107M,210M,267M,278M,261M
Gross Income,5.2B,5.3B,5.06B,5.89B,6.85B
Gross Income Growth,-,1.94%,-4.46%,16.46%,16.19%
Gross Profit Margin,-,-,-,-,14.55%
SG&A Expense,1.93B,2.01B,2.21B,2.28B,2.13B
SGA Growth,-,4.47%,9.89%,2.94%,-6.41%
Research & Development,113M,114M,97M,98M,114M
Other SG&A,1.81B,1.9B,2.11B,2.18B,2.02B
Other Operating Expense,-,-,-,-,-
Unusual Expense,380M,178M,53M,590M,325M
EBIT after Unusual Expense,2.89B,3.11B,(53M),3.03B,4.39B
Non Operating Income/Expense,(8M),(39M),8M,106M,68M
Non-Operating Interest Income,7M,7M,11M,10M,8M
Equity in Affiliates (Pretax),19M,21M,20M,-,-
Interest Expense,279M,350M,461M,479M,427M
Interest Expense Growth,-,25.45%,31.71%,3.90%,-10.86%
Gross Interest Expense,291M,350M,461M,479M,427M
Interest Capitalized,12M,-,-,-,-
Pretax Income,2.63B,2.75B,2.37B,2.66B,4.04B
Pretax Income Growth,-,4.45%,-13.52%,12.22%,51.69%
Pretax Margin,-,-,-,-,8.59%
Income Tax,850M,(282M),381M,593M,981M
Income Tax - Current Domestic,889M,583M,304M,575M,1.11B
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(39M),(865M),77M,18M,(125M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.78B,3.03B,1.99B,2.07B,3.06B
Minority Interest Expense,4M,3M,13M,10M,13M
Net Income,1.77B,3.02B,1.98B,2.06B,3.05B
Net Income Growth,-,70.46%,-34.52%,4.09%,47.84%
Net Margin Growth,-,-,-,-,6.48%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.77B,3.02B,1.98B,2.06B,3.05B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.77B,3.02B,1.98B,2.06B,3.05B
EPS (Basic),4.94,9.01,5.56,5.79,8.56
EPS (Basic) Growth,-,82.40%,-38.29%,4.09%,47.84%
Basic Shares Outstanding,359M,335.5M,356M,356M,356M
EPS (Diluted),4.89,8.35,5.52,5.76,8.51
EPS (Diluted) Growth,-,70.94%,-33.98%,4.38%,47.84%
Diluted Shares Outstanding,363M,362M,359M,358M,358M
EBITDA,4.02B,4.22B,3.94B,4.8B,5.91B
EBITDA Growth,-,4.95%,-6.69%,21.86%,23.30%
EBITDA Margin,-,-,-,-,12.57%
