Item,2017,2018,2019,2020,2021
Sales/Revenue,2.49B,3.05B,4.13B,6.21B,7.6B
Sales Growth,-,22.51%,35.47%,50.34%,22.47%
Cost of Goods Sold (COGS) incl. D&A,275.12M,409.54M,547.76M,736.3M,904.2M
COGS Growth,-,48.86%,33.75%,34.42%,22.80%
COGS excluding D&A,213.72M,337.12M,440.82M,626.79M,778.6M
Depreciation & Amortization Expense,61.4M,72.42M,106.94M,109.52M,125.6M
Depreciation,61.4M,72.42M,106.94M,109.52M,125.6M
Amortization of Intangibles,-,-,-,-,-
Gross Income,2.21B,2.64B,3.58B,5.47B,6.7B
Gross Income Growth,-,19.24%,35.74%,52.77%,22.42%
Gross Profit Margin,-,-,-,-,88.11%
SG&A Expense,1.82B,1.97B,2.41B,2.6B,3.89B
SGA Growth,-,8.73%,22.24%,7.75%,49.66%
Research & Development,1.32B,1.42B,1.75B,1.83B,3.05B
Other SG&A,490.98M,557.62M,658.5M,770.46M,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,288.79M,28.19M,(123.2M),(145.18M),(1.6M)
EBIT after Unusual Expense,109.14M,637.03M,1.29B,3.02B,2.81B
Non Operating Income/Expense,(67.28M),(2.67M),97.06M,134.43M,(23.6M)
Non-Operating Interest Income,-,-,63.68M,22.24M,4.9M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,57.55M,34.12M,58.5M,58.15M,61.5M
Interest Expense Growth,-,-40.71%,71.46%,-0.60%,5.76%
Gross Interest Expense,57.55M,34.12M,58.5M,58.15M,61.5M
Interest Capitalized,-,-,-,-,-
Pretax Income,(15.69M),600.24M,1.39B,3.12B,2.73B
Pretax Income Growth,-,"3,925.87%",132.39%,123.44%,-12.40%
Pretax Margin,-,-,-,-,35.91%
Income Tax,(107.32M),(1.49B),218.11M,405.15M,388.3M
Income Tax - Current Domestic,16.58M,9.79M,13.53M,90.23M,401.4M
Income Tax - Current Foreign,3.58M,15.6M,37.19M,37.58M,141.5M
Income Tax - Deferred Domestic,(124.26M),(1.15B),192.18M,516.92M,(56.2M)
Income Tax - Deferred Foreign,(3.22M),(364.92M),(24.8M),(239.58M),(98.4M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(293K),(501K),-,-,-
Consolidated Net Income,91.34M,2.09B,1.18B,2.71B,2.34B
Minority Interest Expense,(171.85M),(9.79M),-,-,-
Net Income,263.19M,2.1B,1.18B,2.71B,2.34B
Net Income Growth,-,696.53%,-43.87%,130.42%,-13.63%
Net Margin Growth,-,-,-,-,30.80%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,263.19M,2.1B,1.18B,2.71B,2.34B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,263.19M,2.1B,1.18B,2.71B,2.34B
EPS (Basic),1.06,8.24,4.58,10.44,9.09
EPS (Basic) Growth,-,677.36%,-44.37%,127.66%,-12.91%
Basic Shares Outstanding,248.86M,254.29M,256.73M,259.84M,257.7M
EPS (Diluted),1.04,8.09,4.51,10.29,9.01
EPS (Diluted) Growth,-,677.88%,-44.20%,128.04%,-12.47%
Diluted Shares Outstanding,253.23M,259.19M,260.67M,263.4M,259.9M
EBITDA,459.33M,737.64M,1.28B,2.98B,2.93B
EBITDA Growth,-,60.59%,73.04%,133.67%,-1.61%
EBITDA Margin,-,-,-,-,38.59%
