Item,2017,2018,2019,2020,2021
Sales/Revenue,14.49B,14.91B,15.46B,15.22B,17.93B
Sales Growth,-,2.96%,3.63%,-1.53%,17.83%
Cost of Goods Sold (COGS) incl. D&A,10.4B,10.73B,11.07B,11.01B,13.11B
COGS Growth,-,3.16%,3.21%,-0.52%,19.05%
COGS excluding D&A,8.93B,9.15B,9.4B,9.24B,11B
Depreciation & Amortization Expense,1.47B,1.57B,1.67B,1.77B,2.11B
Depreciation,1.37B,1.47B,1.57B,1.67B,1.97B
Amortization of Intangibles,96M,101M,106M,107M,143M
Gross Income,4.09B,4.19B,4.39B,4.21B,4.82B
Gross Income Growth,-,2.45%,4.70%,-4.08%,14.62%
Gross Profit Margin,-,-,-,-,26.89%
SG&A Expense,1.47B,1.45B,1.63B,1.73B,1.81B
SGA Growth,-,-1.02%,12.25%,5.95%,4.92%
Research & Development,-,-,-,-,-
Other SG&A,1.47B,1.45B,1.63B,1.73B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,39M,42M,91M,62M,307M
EBIT after Unusual Expense,(39M),2.69B,2.66B,2.42B,2.7B
Non Operating Income/Expense,29M,87M,(92M),(30M),49M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),(68M),(41M),(55M),(68M),(36M)
Interest Expense,351M,363M,411M,425M,365M
Interest Expense Growth,-,3.42%,13.22%,3.41%,-14.12%
Gross Interest Expense,366M,379M,432M,441M,378M
Interest Capitalized,15M,16M,21M,16M,13M
Pretax Income,2.19B,2.38B,2.11B,1.89B,2.35B
Pretax Income Growth,-,8.44%,-11.41%,-10.07%,24.09%
Pretax Margin,-,-,-,-,13.10%
Income Tax,242M,453M,434M,397M,532M
Income Tax - Current Domestic,456M,388M,298M,205M,568M
Income Tax - Current Foreign,37M,40M,36M,27M,41M
Income Tax - Deferred Domestic,(254M),27M,102M,159M,(77M)
Income Tax - Deferred Foreign,3M,(2M),(2M),6M,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.95B,1.92B,1.67B,1.5B,1.82B
Minority Interest Expense,-,(2M),1M,-,1M
Net Income,1.95B,1.93B,1.67B,1.5B,1.82B
Net Income Growth,-,-1.23%,-13.25%,-10.42%,21.39%
Net Margin Growth,-,-,-,-,10.13%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.95B,1.93B,1.67B,1.5B,1.82B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.95B,1.93B,1.67B,1.5B,1.82B
EPS (Basic),4.44,4.49,3.93,3.54,4.32
EPS (Basic) Growth,-,1.13%,-12.40%,-10.08%,22.14%
Basic Shares Outstanding,438.8M,429.1M,424.6M,423M,420.4M
EPS (Diluted),4.41,4.45,3.91,3.52,4.29
EPS (Diluted) Growth,-,0.91%,-12.22%,-9.91%,22.02%
Diluted Shares Outstanding,441.9M,432.2M,427.5M,425.1M,422.9M
EBITDA,4.09B,4.31B,4.43B,4.25B,5.12B
EBITDA Growth,-,5.36%,2.76%,-3.93%,20.37%
EBITDA Margin,-,-,-,-,28.54%
