Item,2017,2018,2019,2020,2021
Sales/Revenue,14.86B,16.29B,18.29B,17.58B,18.75B
Sales Growth,-,9.60%,12.30%,-3.88%,6.64%
Cost of Goods Sold (COGS) incl. D&A,12.35B,13.22B,15.12B,14.81B,15.64B
COGS Growth,-,7.05%,14.38%,-2.04%,5.57%
COGS excluding D&A,11.23B,11.97B,13.61B,13.32B,14.18B
Depreciation & Amortization Expense,1.12B,1.25B,1.51B,1.49B,1.46B
Depreciation,860.4M,923.8M,1.07B,1.05B,1.07B
Amortization of Intangibles,256.2M,328.4M,436.6M,432.1M,390.3M
Gross Income,2.51B,3.07B,3.17B,2.77B,3.11B
Gross Income Growth,-,22.17%,3.35%,-12.68%,12.35%
Gross Profit Margin,-,-,-,-,16.58%
SG&A Expense,1.4B,1.55B,1.72B,1.62B,1.76B
SGA Growth,-,10.50%,10.90%,-5.29%,8.30%
Research & Development,-,-,-,-,-
Other SG&A,1.4B,1.55B,1.72B,1.62B,1.76B
Other Operating Expense,32.6M,184.2M,(6.3M),(1.1M),(2.9M)
Unusual Expense,241.6M,137.4M,11.8M,1.42B,54.1M
EBIT after Unusual Expense,836M,(137.4M),1.45B,(271.4M),1.3B
Non Operating Income/Expense,260.3M,97.2M,117.8M,124.2M,111.8M
Non-Operating Interest Income,-,-,-,-,46.6M
Equity in Affiliates (Pretax),39M,33.5M,10.1M,15.8M,40.9M
Interest Expense,277.7M,293.8M,431.3M,391.2M,411.5M
Interest Expense Growth,-,5.80%,46.80%,-9.30%,5.19%
Gross Interest Expense,284.7M,302M,455.1M,415.8M,425.5M
Interest Capitalized,7M,8.2M,23.8M,24.6M,14M
Pretax Income,857.6M,1.03B,1.14B,(522.6M),1.09B
Pretax Income Growth,-,20.66%,10.62%,-145.65%,307.79%
Pretax Margin,-,-,-,-,5.79%
Income Tax,159M,(874.5M),276.8M,163.5M,243.4M
Income Tax - Current Domestic,84.1M,109.8M,169.6M,55.1M,198.4M
Income Tax - Current Foreign,95.3M,86.6M,69.5M,66.8M,78.4M
Income Tax - Deferred Domestic,(7.6M),(1.06B),50.2M,48.6M,(49.2M)
Income Tax - Deferred Foreign,(12.8M),(15.5M),(12.5M),(7M),15.8M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(100K),(200K),(100K),(100K),(200K)
Consolidated Net Income,698.5M,1.91B,867.8M,(686.2M),842.3M
Minority Interest Expense,(9.6M),3.2M,5M,4.8M,4.2M
Net Income,708.1M,1.91B,862.8M,(691M),838.1M
Net Income Growth,-,169.16%,-54.73%,-180.09%,221.29%
Net Margin Growth,-,-,-,-,4.47%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,708.1M,1.91B,862.8M,(691M),838.1M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,708.1M,1.91B,862.8M,(691M),838.1M
EPS (Basic),2.81,7.46,3.36,(2.67),3.16
EPS (Basic) Growth,-,165.68%,-54.92%,-179.29%,218.55%
Basic Shares Outstanding,252.2M,255.5M,256.6M,259.2M,265.2M
EPS (Diluted),2.77,7.34,3.33,(2.67),3.13
EPS (Diluted) Growth,-,164.90%,-54.61%,-180.06%,217.53%
Diluted Shares Outstanding,255.7M,259.8M,259.1M,259.2M,267.5M
EBITDA,2.19B,2.59B,2.97B,2.63B,2.81B
EBITDA Growth,-,17.92%,14.83%,-11.46%,6.90%
EBITDA Margin,-,-,-,-,15.00%
