Item,2017,2018,2019,2020,2021
Sales/Revenue,3.99B,3.99B,4.03B,3.34B,4.25B
Sales Growth,-,-0.18%,1.08%,-17.06%,27.20%
Cost of Goods Sold (COGS) incl. D&A,1.78B,1.89B,1.87B,1.65B,1.9B
COGS Growth,-,6.18%,-1.10%,-11.69%,15.24%
COGS excluding D&A,1.46B,1.56B,1.54B,1.31B,1.55B
Depreciation & Amortization Expense,316.4M,330.8M,322.8M,334M,346M
Depreciation,127.3M,132.9M,133.2M,142M,124M
Amortization of Intangibles,189.1M,197.9M,189.6M,192M,222M
Gross Income,2.22B,2.1B,2.16B,1.7B,2.35B
Gross Income Growth,-,-5.27%,3.03%,-21.68%,38.82%
Gross Profit Margin,-,-,-,-,55.35%
SG&A Expense,1.67B,1.72B,1.72B,1.42B,1.71B
SGA Growth,-,2.65%,0.26%,-17.78%,20.54%
Research & Development,151.7M,160.5M,131.3M,115M,171M
Other SG&A,1.52B,1.56B,1.59B,1.3B,-
Other Operating Expense,25.7M,23.7M,-,-,-
Unusual Expense,2.08B,1.3B,48.4M,267M,(12M)
EBIT after Unusual Expense,(1.56B),(946.8M),392.2M,11M,657M
Non Operating Income/Expense,(5.7M),28.6M,(10.8M),(10M),(32M)
Non-Operating Interest Income,2.4M,2.1M,2.4M,1M,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,36M,42.3M,38.4M,62M,66M
Interest Expense Growth,-,17.50%,-9.22%,61.46%,6.45%
Gross Interest Expense,36.7M,42.3M,38.4M,62M,66M
Interest Capitalized,700K,-,-,-,-
Pretax Income,(1.6B),(958.4M),345.4M,(60M),559M
Pretax Income Growth,-,40.23%,136.04%,-117.37%,"1,031.67%"
Pretax Margin,-,-,-,-,13.15%
Income Tax,(53.2M),52.5M,82.3M,23M,138M
Income Tax - Current Domestic,7.6M,13M,(9.7M),(4M),5M
Income Tax - Current Foreign,83M,101.5M,129.4M,91M,153M
Income Tax - Deferred Domestic,14.2M,43.4M,(200K),(2M),13M
Income Tax - Deferred Foreign,(158M),(105.4M),(37.2M),(62M),(33M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(1.55B),(1.01B),263.1M,(83M),421M
Minority Interest Expense,(300K),100K,200K,-,-
Net Income,(1.55B),(1.01B),262.9M,(83M),421M
Net Income Growth,-,34.77%,126.00%,-131.57%,607.23%
Net Margin Growth,-,-,-,-,9.90%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(1.55B),(1.01B),262.9M,(83M),421M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(1.55B),(1.01B),262.9M,(83M),421M
EPS (Basic),(6.76),(4.51),1.18,(0.38),1.93
EPS (Basic) Growth,-,33.28%,126.13%,-132.13%,609.17%
Basic Shares Outstanding,229.4M,224.3M,223.1M,219.2M,218.4M
EPS (Diluted),(6.76),(4.51),1.17,(0.38),1.91
EPS (Diluted) Growth,-,33.28%,125.98%,-132.31%,604.99%
Diluted Shares Outstanding,229.4M,224.3M,224.4M,219.2M,220.2M
EBITDA,833.2M,688.4M,763.4M,612M,991M
EBITDA Growth,-,-17.38%,10.89%,-19.83%,61.93%
EBITDA Margin,-,-,-,-,23.31%
