Item,2017,2018,2019,2020,2021
Sales/Revenue,5.88B,5.69B,5.6B,5.65B,6.58B
Sales Growth,-,-3.23%,-1.60%,0.98%,16.49%
Cost of Goods Sold (COGS) incl. D&A,3.19B,3.03B,2.78B,2.97B,3.42B
COGS Growth,-,-5.05%,-8.15%,6.54%,15.28%
COGS excluding D&A,2.94B,2.85B,2.62B,2.77B,3.21B
Depreciation & Amortization Expense,253M,183M,166M,195M,210M
Depreciation,243M,146M,114M,132M,134M
Amortization of Intangibles,10M,37M,52M,63M,76M
Gross Income,2.69B,2.66B,2.81B,2.69B,3.17B
Gross Income Growth,-,-1.08%,5.87%,-4.51%,17.83%
Gross Profit Margin,-,-,-,-,48.09%
SG&A Expense,976M,887M,917M,1B,1.06B
SGA Growth,-,-9.12%,3.38%,9.38%,5.68%
Research & Development,22M,-,-,-,-
Other SG&A,954M,887M,917M,1B,-
Other Operating Expense,5M,-,4M,-,-
Unusual Expense,26M,-,87M,233M,16M
EBIT after Unusual Expense,(26M),-,1.81B,1.45B,2.09B
Non Operating Income/Expense,1.03B,534M,58M,102M,99M
Non-Operating Interest Income,33M,30M,10M,15M,7M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,473M,496M,501M,548M,522M
Interest Expense Growth,-,4.86%,1.01%,9.38%,-4.74%
Gross Interest Expense,473M,496M,501M,548M,522M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.27B,1.84B,1.37B,1.02B,1.67B
Pretax Income Growth,-,-19.13%,-25.34%,-25.71%,64.12%
Pretax Margin,-,-,-,-,25.43%
Income Tax,934M,297M,79M,116M,99M
Income Tax - Current Domestic,10M,127M,145M,60M,85M
Income Tax - Current Foreign,290M,181M,166M,121M,214M
Income Tax - Deferred Domestic,615M,(16M),(19M),(36M),27M
Income Tax - Deferred Foreign,19M,5M,(213M),(29M),(227M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.34B,1.54B,1.29B,904M,1.58B
Minority Interest Expense,-,-,-,-,-
Net Income,1.34B,1.54B,1.29B,904M,1.58B
Net Income Growth,-,15.07%,-16.08%,-30.14%,74.23%
Net Margin Growth,-,-,-,-,23.92%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.34B,1.54B,1.29B,904M,1.58B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.34B,1.54B,1.29B,904M,1.58B
EPS (Basic),3.86,4.79,4.23,2.99,5.3
EPS (Basic) Growth,-,24.06%,-11.69%,-29.21%,77.16%
Basic Shares Outstanding,347M,322M,306M,302M,297M
EPS (Diluted),3.77,4.69,4.13,2.94,5.22
EPS (Diluted) Growth,-,24.40%,-11.85%,-28.77%,77.11%
Diluted Shares Outstanding,355M,329M,313M,307M,302M
EBITDA,1.96B,1.95B,2.06B,1.88B,2.32B
EBITDA Growth,-,-0.26%,5.37%,-8.74%,23.26%
EBITDA Margin,-,-,-,-,35.18%
