Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,923.2M,924.9M,1.79B,1.76B,1.59B
Cash & Short Term Investments Growth,-,0.18%,93.76%,-1.56%,-10.15%
Cash Only,923.2M,923.5M,1.75B,1.53B,1.52B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.65%,12.46%,21.01%,20.50%,19.19%
Total Accounts Receivable,326.1M,357.8M,580.3M,716.1M,384M
Total Accounts Receivable Growth,-,9.72%,62.19%,23.40%,-46.38%
"Accounts Receivables, Net",326.1M,357.8M,580.3M,716.1M,384M
"Accounts Receivables, Gross",326.1M,357.8M,580.3M,720.7M,384M
Bad Debt/Doubtful Accounts,-,-,-,(4.6M),-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.05,2.98,1.95,1.69,3.03
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,256.1M,263.3M,282.4M,283.6M,389M
Miscellaneous Current Assets,256.1M,263.3M,282.4M,283.6M,389M
Total Current Assets,1.51B,1.55B,2.65B,2.76B,2.36B
"Net Property, Plant & Equipment",598.8M,582.6M,555.4M,467M,465M
"Property, Plant & Equipment - Gross",1.05B,1.02B,992.5M,940.6M,945M
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,214.3M,185M,188.2M,192.2M,193M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,453.8M,432.8M,437.1M,473.6M,480M
Total Investments and Advances,-,-,19.7M,45.4M,39M
Other Long-Term Investments,-,-,19.7M,45.4M,39M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.99B,4.07B,4.08B,4.1B,4.12B
Net Goodwill,3.48B,3.56B,3.58B,3.6B,3.64B
Net Other Intangibles,503.1M,511.3M,-,-,-
Other Assets,463.3M,478.9M,483.3M,492.3M,519M
Total Assets,7.3B,7.42B,8.53B,8.61B,8.26B
Total Assets Growth,-,1.68%,14.96%,0.89%,-4.02%
