Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.9B,1.83B,1.48B,1.83B,2.08B
Cash & Short Term Investments Growth,-,-3.58%,-19.22%,23.73%,13.77%
Cash Only,1.62B,1.66B,1.25B,1.39B,1.49B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.47%,5.23%,4.49%,5.28%,5.77%
Total Accounts Receivable,1.37B,1.4B,1.57B,1.52B,1.68B
Total Accounts Receivable Growth,-,1.89%,11.86%,-2.75%,9.98%
"Accounts Receivables, Net",1.37B,1.4B,1.42B,1.52B,1.68B
"Accounts Receivables, Gross",1.38B,1.41B,1.42B,1.53B,1.68B
Bad Debt/Doubtful Accounts,(10M),(9M),(5M),(5M),(5M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.97,2.17,1.77,1.87,1.84
Inventories,445M,577M,604M,688M,871M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,445M,577M,604M,688M,871M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.81B,1.88B,1.71B,2.1B,2.3B
Miscellaneous Current Assets,1.7B,1.75B,1.57B,2.01B,2.11B
Total Current Assets,5.53B,5.69B,5.36B,6.14B,6.92B
"Net Property, Plant & Equipment",22.58B,22.79B,20.18B,20.45B,20.75B
"Property, Plant & Equipment - Gross",30.55B,30.9B,28.67B,29.19B,29.14B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,7.97B,8.11B,8.49B,8.73B,8.39B
Total Investments and Advances,930M,937M,1.23B,1.32B,1.47B
Other Long-Term Investments,137M,156M,148M,241M,372M
Long-Term Note Receivables,108M,80M,55M,51M,44M
Intangible Assets,2.01B,2.04B,2.63B,2.77B,2.83B
Net Goodwill,1.11B,1.11B,1.18B,1.18B,1.18B
Net Other Intangibles,900M,928M,-,-,-
Other Assets,3.27B,3.18B,3.1B,3.53B,3.66B
Total Assets,34.73B,35.03B,32.96B,34.65B,36.07B
Total Assets Growth,-,0.87%,-5.90%,5.11%,4.10%
