Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.98B,2.79B,3.14B,4.88B,4.67B
Cash & Short Term Investments Growth,-,-6.21%,12.39%,55.37%,-4.24%
Cash Only,2.98B,2.79B,3.14B,4.88B,4.67B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.75%,15.82%,17.43%,23.90%,23.46%
Total Accounts Receivable,3.11B,3.06B,3.14B,3.42B,3.41B
Total Accounts Receivable Growth,-,-1.58%,2.68%,8.85%,-0.26%
"Accounts Receivables, Net",2.84B,2.83B,2.91B,3.17B,3.14B
"Accounts Receivables, Gross",2.89B,2.88B,2.95B,3.21B,3.19B
Bad Debt/Doubtful Accounts,(44M),(49M),(37M),(38M),(43M)
Other Receivable,266M,232M,-,-,-
Accounts Receivable Turnover,1.22,1.19,1.32,1.22,1.19
Inventories,1.81B,2.13B,2.02B,2.32B,2.37B
Finished Goods,533M,590M,531M,579M,568M
Work in Progress,172M,182M,172M,159M,168M
Raw Materials,1.1B,1.35B,1.31B,1.57B,1.63B
Progress Payments & Other,7M,6M,6M,9M,8M
Other Current Assets,128M,93M,101M,126M,82M
Miscellaneous Current Assets,128M,93M,101M,126M,82M
Total Current Assets,8.02B,8.07B,8.4B,10.74B,10.53B
"Net Property, Plant & Equipment",3.57B,3.57B,3.68B,3.67B,3.63B
"Property, Plant & Equipment - Gross",-,-,7.4B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,3.72B,-,-
Total Investments and Advances,2.05B,1.96B,1.9B,2.03B,1.96B
Other Long-Term Investments,13M,-,3M,79M,92M
Long-Term Note Receivables,171M,182M,176M,181M,177M
Intangible Assets,3.57B,3.48B,3.48B,3.4B,3.27B
Net Goodwill,2.55B,2.5B,2.51B,2.48B,2.39B
Net Other Intangibles,1.02B,973M,-,-,-
Other Assets,230M,217M,222M,217M,192M
Total Assets,17.78B,17.65B,18.01B,20.4B,19.91B
Total Assets Growth,-,-0.73%,2.02%,13.31%,-2.43%
