Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,357.57M,368.05M,415.23M,870.17M,517.66M
Cash & Short Term Investments Growth,-,2.93%,12.82%,109.56%,-40.51%
Cash Only,357.57M,368.05M,415.23M,870.17M,517.66M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,13.9M,19.77M,20.47M,21.69M,22.94M
Short Term Receivables Growth,-,42.25%,3.51%,5.96%,5.76%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,1.95B,1.97B,1.8B,1.59B,1.58B
"Net Property, Plant & Equipments",579.4M,575.45M,652.1M,739.51M,742.78M
Other Assets (Including Intangibles),1.98B,2.08B,2.17B,2.34B,2.27B
Other Assets,1.39B,1.45B,1.56B,1.61B,1.59B
Intangible Assets,595.45M,632.08M,609.87M,729.77M,683.26M
Total Assets,27.02B,28.56B,30.22B,32.84B,33.24B
Total Assets Growth,-,5.70%,5.81%,8.69%,1.22%
Return On Average Assets,-,-,-,-,2.12%
