Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,524.62M,116.72M,264.01M,582.5M,328.08M
Cash & Short Term Investments Growth,-,-77.75%,126.18%,120.64%,-43.68%
Cash Only,524.62M,116.72M,264.01M,582.5M,328.08M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.72%,0.56%,1.28%,2.74%,1.51%
Total Accounts Receivable,291.12M,342.97M,514.33M,565.18M,375.26M
Total Accounts Receivable Growth,-,17.81%,49.97%,9.89%,-33.60%
"Accounts Receivables, Net",291.12M,251.17M,514.33M,565.18M,375.26M
"Accounts Receivables, Gross",347.77M,315.64M,579.27M,627.4M,398.15M
Bad Debt/Doubtful Accounts,(56.65M),(64.47M),(64.93M),(62.21M),(22.89M)
Other Receivable,-,91.8M,-,-,-
Accounts Receivable Turnover,2.08,1.66,1.97,2.92,2.18
Inventories,99.47M,193.7M,220.28M,96.3M,223.99M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,99.47M,193.7M,220.28M,96.3M,223.99M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,200.15M,2.19B,2.28B,2.29B,2.35B
Miscellaneous Current Assets,200.15M,2.14B,2.28B,2.29B,2.35B
Total Current Assets,1.12B,2.84B,3.27B,3.53B,3.28B
"Net Property, Plant & Equipment",14.48B,15.29B,15.73B,16.08B,16.56B
"Property, Plant & Equipment - Gross",17.27B,18.11B,18.57B,19.02B,19.5B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.79B,2.82B,2.85B,2.93B,2.95B
Total Investments and Advances,137.64M,283.68M,69.34M,155.64M,301.32M
Other Long-Term Investments,137.64M,283.68M,69.34M,155.64M,301.32M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,731.26M,731.26M,731.26M,731.26M,731.26M
Net Goodwill,731.26M,731.26M,731.26M,731.26M,731.26M
Net Other Intangibles,-,-,-,-,-
Other Assets,2.85B,468.59M,744.19M,770.28M,784.45M
Total Assets,19.32B,20.83B,20.55B,21.27B,21.66B
Total Assets Growth,-,7.82%,-1.34%,3.53%,1.81%
