Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,121M,114M,153M,115M,122M
Cash & Short Term Investments Growth,-,-5.79%,34.21%,-24.84%,6.09%
Cash Only,104M,100M,136M,96M,97M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.48%,0.45%,0.57%,0.45%,0.46%
Total Accounts Receivable,565M,597M,568M,520M,667M
Total Accounts Receivable Growth,-,5.66%,-4.86%,-8.45%,28.27%
"Accounts Receivables, Net",565M,597M,519M,520M,667M
"Accounts Receivables, Gross",635M,673M,594M,592M,734M
Bad Debt/Doubtful Accounts,(70M),(76M),(75M),(72M),(67M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.77,1.83,1.67,1.62,1.40
Inventories,52M,53M,57M,71M,85M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,52M,53M,57M,71M,85M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,832M,826M,776M,147M,144M
Miscellaneous Current Assets,832M,826M,776M,147M,144M
Total Current Assets,1.57B,1.59B,1.55B,853M,1.02B
"Net Property, Plant & Equipment",20.31B,20.68B,21.18B,21.49B,22.19B
"Property, Plant & Equipment - Gross",26.46B,26.97B,27.51B,27.87B,28.62B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,6.16B,6.29B,6.33B,6.38B,6.43B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,115M,-,-
Intangible Assets,1.56B,1.56B,1.14B,1.14B,1.14B
Net Goodwill,1.51B,1.51B,1.14B,1.14B,1.14B
Net Other Intangibles,50M,47M,-,-,-
Other Assets,1.51B,1.51B,2.09B,2.21B,2.22B
Total Assets,24.95B,25.33B,27.01B,25.69B,26.57B
Total Assets Growth,-,1.53%,6.62%,-4.87%,3.42%
