Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,30.8B,27.92B,22.03B,27.68B,26.28B
Cash & Short Term Investments Growth,-,-9.35%,-21.09%,25.65%,-5.06%
Cash Only,29.37B,27.81B,21.84B,25.91B,25.6B
Total Short-Term Investments,1.42B,108M,-,-,-
Short-Term Receivables,47.51B,48.73B,53.58B,53.09B,55.9B
Short Term Receivables Growth,-,2.56%,9.96%,-0.92%,5.30%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,14.28B,10.06B,3.12B,6.27B,5.15B
"Net Property, Plant & Equipments",4.89B,4.96B,4.99B,5.05B,5.09B
Other Assets (Including Intangibles),15.56B,16.71B,15.6B,14.67B,16.45B
Other Assets,15.56B,16.71B,11.59B,14.67B,16.45B
Intangible Assets,-,-,4.01B,-,-
Total Assets,186.97B,184.26B,188.55B,195.86B,205.3B
Total Assets Growth,-,-1.45%,2.33%,3.88%,4.82%
Return On Average Assets,-,-,-,-,4.21%
