Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,11.75B,12.19B,11.18B,10.6B,11.89B
Cash & Short Term Investments Growth,-,3.68%,-8.27%,-5.18%,12.21%
Cash Only,11.25B,11.66B,11.15B,10.57B,11.87B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,49.21%,52.20%,47.28%,47.35%,48.55%
Total Accounts Receivable,1.29B,1.56B,1.36B,1.61B,2.25B
Total Accounts Receivable Growth,-,20.54%,-12.67%,18.63%,39.60%
"Accounts Receivables, Net",1.29B,1.56B,1.36B,1.61B,2.25B
"Accounts Receivables, Gross",1.38B,1.67B,1.46B,1.71B,2.35B
Bad Debt/Doubtful Accounts,(92M),(110M),(101M),(102M),(102M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.67,3.01,2.20,1.67,1.91
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,746M,612M,610M,666M,783M
Miscellaneous Current Assets,239M,218M,206M,271M,156M
Total Current Assets,13.79B,14.35B,13.15B,12.88B,14.92B
"Net Property, Plant & Equipment",1.21B,1.21B,1.32B,1.33B,1.3B
"Property, Plant & Equipment - Gross",-,-,2.62B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,1.47B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.31B,-,-
Total Investments and Advances,4.32B,3.28B,3.18B,2.2B,2.38B
Other Long-Term Investments,4.32B,3.28B,3.18B,2.2B,2.38B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.61B,3.55B,4.94B,4.88B,4.77B
Net Goodwill,1.89B,1.87B,2.89B,2.88B,2.84B
Net Other Intangibles,1.73B,1.68B,-,-,-
Other Assets,957M,950M,505M,1.1B,1.12B
Total Assets,23.88B,23.34B,23.64B,22.38B,24.49B
Total Assets Growth,-,-2.26%,1.29%,-5.32%,9.42%
