Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.36B,1.44B,1.48B,2.44B,3.3B
Cash & Short Term Investments Growth,-,5.59%,2.97%,64.76%,35.14%
Cash Only,1.35B,1.43B,1.47B,2.43B,3.29B
Total Short-Term Investments,13.08M,14.43M,-,-,-
Short-Term Receivables,1.3B,1.43B,1.28B,1.36B,1.42B
Short Term Receivables Growth,-,9.54%,-10.29%,6.15%,4.57%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,32.62M,31.35M,30.97M,25M,23.7M
"Net Property, Plant & Equipments",388.78M,396.17M,409.07M,418.7M,417.9M
Other Assets (Including Intangibles),6.27B,6.34B,6.59B,7.03B,7.12B
Other Assets,711.53M,724.81M,774.67M,715.6M,821.1M
Intangible Assets,5.56B,5.61B,5.82B,6.31B,6.29B
Total Assets,9.36B,9.63B,9.93B,11.27B,12.28B
Total Assets Growth,-,2.90%,3.14%,13.50%,8.93%
Return On Average Assets,-,-,-,-,6.03%
