Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.84B,2.1B,2.11B,471M,408M
Cash & Short Term Investments Growth,-,-26.04%,0.52%,-77.71%,-13.38%
Cash Only,2.84B,2.1B,2.11B,471M,408M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.12%,6.59%,6.56%,1.46%,1.27%
Total Accounts Receivable,1.68B,1.67B,1.78B,1.87B,1.92B
Total Accounts Receivable Growth,-,-0.36%,6.53%,4.95%,2.73%
"Accounts Receivables, Net",1.68B,1.67B,1.78B,1.87B,1.92B
"Accounts Receivables, Gross",1.78B,1.78B,1.89B,1.98B,2.03B
Bad Debt/Doubtful Accounts,(107M),(108M),(108M),(113M),(117M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.84,1.76,1.76,1.62,1.69
Inventories,1.43B,1.6B,1.61B,1.74B,1.75B
Finished Goods,933M,1.04B,1.03B,1.1B,1.08B
Work in Progress,121M,127M,128M,142M,144M
Raw Materials,376M,436M,452M,499M,526M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,812M,854M,816M,992M,1.01B
Miscellaneous Current Assets,610M,637M,611M,743M,742M
Total Current Assets,6.76B,6.23B,6.32B,5.07B,5.08B
"Net Property, Plant & Equipment",2.49B,2.52B,2.69B,2.69B,2.65B
"Property, Plant & Equipment - Gross",5.81B,5.84B,5.96B,5.99B,5.91B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.31B,3.31B,3.27B,3.3B,3.27B
Total Investments and Advances,828M,667M,635M,613M,678M
Other Long-Term Investments,389M,237M,234M,222M,307M
Long-Term Note Receivables,-,-,-,-,8M
Intangible Assets,16.66B,18.05B,18.11B,19.53B,19.23B
Net Goodwill,10.87B,11.82B,11.99B,12.95B,12.88B
Net Other Intangibles,5.79B,6.23B,-,-,-
Other Assets,390M,361M,339M,338M,481M
Total Assets,31.17B,31.88B,32.23B,32.34B,32.19B
Total Assets Growth,-,2.27%,1.10%,0.34%,-0.46%
