Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,637.28M,1.08B,501.16M,482.34M,502.85M
Cash & Short Term Investments Growth,-,69.77%,-53.68%,-3.75%,4.25%
Cash Only,637.28M,1.08B,501.16M,482.34M,502.85M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,155.58M,158.71M,158.16M,144.35M,143.18M
Short Term Receivables Growth,-,2.01%,-0.34%,-8.73%,-0.81%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,41.48M,41.52M,43.63M,36.03M,31.46M
"Net Property, Plant & Equipments",-,-,-,-,-
Other Assets (Including Intangibles),1.85B,1.92B,1.9B,1.98B,2B
Other Assets,1.85B,1.92B,1.9B,1.98B,2B
Intangible Assets,-,-,-,-,-
Total Assets,22.06B,22.85B,22.37B,22.48B,23.27B
Total Assets Growth,-,3.58%,-2.12%,0.49%,3.52%
Return On Average Assets,-,-,-,-,2.23%
