Item,31-Mar-2021,30-Jun-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,-,-,576M,1.7B,926M
Cash & Short Term Investments Growth,-,-,-,194.44%,-45.40%
Cash Only,-,-,576M,1.7B,926M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,-,-,1.20%,3.62%,2.04%
Total Accounts Receivable,-,-,2.42B,2.27B,2.12B
Total Accounts Receivable Growth,-,-,-,-6.24%,-6.65%
"Accounts Receivables, Net",-,-,1.72B,1.94B,1.73B
"Accounts Receivables, Gross",-,-,1.72B,1.94B,1.73B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,-,-,2.29,2.46,2.58
Inventories,-,-,1.29B,1.21B,1.38B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,1.29B,1.21B,1.38B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,-,3.7B,3.59B,3.66B
Miscellaneous Current Assets,-,-,3.7B,3.59B,3.66B
Total Current Assets,-,-,7.98B,8.77B,8.09B
"Net Property, Plant & Equipment",-,-,19.61B,19.84B,19.74B
"Property, Plant & Equipment - Gross",-,-,35.49B,35.84B,35.9B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,15.87B,16.01B,16.17B
Total Investments and Advances,-,-,1.12B,782M,1.33B
Other Long-Term Investments,-,-,1.12B,782M,1.33B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,-,-,19.34B,17.42B,16.14B
Total Assets,-,-,48.09B,46.85B,45.33B
Total Assets Growth,-,-,-,-2.58%,-3.23%
