Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,319M,210M,192M,241M,183M
Cash & Short Term Investments Growth,-,-34.17%,-8.57%,25.52%,-24.07%
Cash Only,319M,210M,192M,241M,183M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.04%,3.35%,3.10%,3.81%,2.97%
Total Accounts Receivable,604M,654M,569M,660M,681M
Total Accounts Receivable Growth,-,8.28%,-13.00%,15.99%,3.18%
"Accounts Receivables, Net",582M,654M,569M,660M,659M
"Accounts Receivables, Gross",590M,654M,569M,660M,668M
Bad Debt/Doubtful Accounts,(8M),-,-,-,(9M)
Other Receivable,22M,-,-,-,-
Accounts Receivable Turnover,2.98,2.76,2.97,2.74,2.64
Inventories,752M,785M,818M,803M,755M
Finished Goods,543M,594M,626M,602M,593M
Work in Progress,11M,13M,14M,37M,16M
Raw Materials,229M,220M,220M,206M,191M
Progress Payments & Other,(31M),(42M),(42M),(42M),(45M)
Other Current Assets,154M,171M,162M,165M,106M
Miscellaneous Current Assets,154M,171M,162M,165M,106M
Total Current Assets,1.83B,1.82B,1.74B,1.87B,1.73B
"Net Property, Plant & Equipment",1.65B,1.61B,1.61B,1.62B,1.69B
"Property, Plant & Equipment - Gross",4.04B,4.03B,4.07B,4.13B,4.22B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,475M,-,-,-,505M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.38B,2.42B,2.47B,2.51B,2.53B
Total Investments and Advances,79M,-,-,-,52M
Other Long-Term Investments,24M,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.49B,2.48B,2.47B,2.47B,2.44B
Net Goodwill,1.58B,1.57B,1.57B,1.57B,1.56B
Net Other Intangibles,918M,909M,-,-,-
Other Assets,280M,368M,376M,364M,245M
Total Assets,6.33B,6.27B,6.19B,6.32B,6.16B
Total Assets Growth,-,-0.95%,-1.34%,2.13%,-2.59%
