Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,990.73M,1.02B,1.08B,856.24M,761.62M
Cash & Short Term Investments Growth,-,3.22%,5.25%,-20.45%,-11.05%
Cash Only,668.27M,721.11M,815.37M,615.86M,520.93M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.67%,15.43%,14.08%,13.24%,11.64%
Total Accounts Receivable,360.31M,394.69M,193.66M,140M,181.51M
Total Accounts Receivable Growth,-,9.54%,-50.93%,-27.71%,29.65%
"Accounts Receivables, Net",75.7M,76.1M,99.6M,89.3M,83.64M
"Accounts Receivables, Gross",75.7M,76.1M,99.6M,89.3M,83.64M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,284.61M,318.59M,-,-,-
Accounts Receivable Turnover,5.25,4.95,10.12,14.43,12.19
Inventories,25.16M,28.45M,32.83M,29.85M,29.46M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,71.61M,72.82M,78.76M,70.4M,73.72M
Miscellaneous Current Assets,71.61M,72.82M,78.76M,70.4M,73.72M
Total Current Assets,1.45B,1.52B,1.38B,1.1B,1.05B
"Net Property, Plant & Equipment",4.61B,4.81B,4.89B,4.93B,5.02B
"Property, Plant & Equipment - Gross",-,-,6.42B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.54B,-,-
Total Investments and Advances,206.22M,244.02M,333.75M,393.68M,423.19M
Other Long-Term Investments,197.11M,234.9M,324.5M,384.76M,410.68M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,21.94M,21.94M,21.94M,21.94M,21.94M
Net Goodwill,21.94M,21.94M,21.94M,21.94M,21.94M
Net Other Intangibles,-,-,-,-,-
Other Assets,32.39M,29.73M,28.14M,28.57M,30.62M
Total Assets,6.32B,6.63B,7.64B,6.47B,6.55B
Total Assets Growth,-,4.86%,15.34%,-15.39%,1.21%
