Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,11.02B,13.42B,13.12B,11.24B,13.44B
Cash Growth,-,21.83%,-2.27%,-14.34%,19.56%
Total Investment Assets,16.15B,16.19B,16.65B,17.01B,16.69B
Investments Growth,-,0.26%,2.83%,2.14%,-1.86%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,1.95B,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,11.2B,11.52B,12.24B,16.17B,14.15B
Premium Balance Growth,-,2.80%,6.27%,32.12%,-12.47%
"Net Property, Plant & Equipment",4.21B,6.94B,6.96B,7.07B,5.28B
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),28.96B,29.67B,29.41B,31.42B,31.51B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,-,-,-,-,-
Tangible Other Assets,2.09B,1.83B,1.82B,2.37B,3.52B
Intangible Assets,26.87B,27.84B,27.6B,29.04B,27.98B
Total Assets,71.54B,77.74B,79.76B,82.9B,81.06B
Assets - Total - 1 Year Growth,-,8.67%,2.59%,3.94%,-2.22%
Return On Average Assets,-,-,-,-,1.80%
