Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,493.64M,79.75M,113.17M,84.14M,90.47M
Cash & Short Term Investments Growth,-,-83.84%,41.91%,-25.66%,7.53%
Cash Only,493.64M,79.75M,113.17M,84.14M,90.47M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.77%,1.01%,1.41%,1.03%,1.07%
Total Accounts Receivable,923.99M,938.61M,1.06B,1.07B,1.03B
Total Accounts Receivable Growth,-,1.58%,13.42%,0.57%,-3.99%
"Accounts Receivables, Net",901.71M,927.36M,975.44M,1B,1.01B
"Accounts Receivables, Gross",913.81M,927.36M,975.44M,1B,1.02B
Bad Debt/Doubtful Accounts,(12.1M),-,-,-,(12.92M)
Other Receivable,22.28M,11.25M,-,-,-
Accounts Receivable Turnover,1.99,2.02,1.81,1.83,2.02
Inventories,481.8M,463.69M,464.86M,486.75M,472.15M
Finished Goods,429.02M,417.28M,413.15M,429.67M,418.8M
Work in Progress,37.66M,30.68M,35.33M,33.86M,34.28M
Raw Materials,15.11M,15.73M,16.39M,23.22M,19.07M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,54.38M,148.96M,136.8M,163.44M,41.03M
Miscellaneous Current Assets,54.38M,148.96M,136.8M,163.44M,41.03M
Total Current Assets,1.95B,1.63B,1.78B,1.81B,1.63B
"Net Property, Plant & Equipment",1.49B,1.46B,1.46B,1.48B,1.49B
"Property, Plant & Equipment - Gross",3.54B,-,-,-,3.71B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.06B,-,-,-,2.21B
Total Investments and Advances,22.5M,20.55M,18.98M,5.69M,5.74M
Other Long-Term Investments,3.1M,2.16M,2.16M,2.16M,2.16M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.4B,3.4B,3.39B,3.51B,3.55B
Net Goodwill,2.91B,2.92B,2.93B,3.03B,3.04B
Net Other Intangibles,491.72M,472.06M,-,-,-
Other Assets,1.37B,1.35B,1.38B,1.37B,1.47B
Total Assets,8.56B,7.86B,8.02B,8.17B,8.43B
Total Assets Growth,-,-8.16%,2.03%,1.89%,3.20%
