Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,120.48M,116M,142.7M,157.96M,99.23M
Cash & Short Term Investments Growth,-,-3.72%,23.01%,10.70%,-37.18%
Cash Only,120.48M,116M,142.7M,157.96M,99.23M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,630.09M,610.42M,1.22B,774.58M,797.21M
Short Term Receivables Growth,-,-3.12%,99.72%,-36.46%,2.92%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,8.03M,11.09M,8.79M,10.38M,10M
"Net Property, Plant & Equipments",1.45B,1.44B,1.41B,1.36B,1.31B
Other Assets (Including Intangibles),12.04B,11.79B,11.02B,11.4B,11B
Other Assets,1.14B,1.09B,578.4M,1.19B,1.16B
Intangible Assets,10.9B,10.7B,10.45B,10.21B,9.83B
Total Assets,36.15B,35.85B,36.37B,36.68B,35.96B
Total Assets Growth,-,-0.84%,1.46%,0.86%,-1.98%
Return On Average Assets,-,-,-,-,4.72%
