Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,601.36M,739.14M,385.5M,289.98M,515.37M
Cash & Short Term Investments Growth,-,22.91%,-47.84%,-24.78%,77.72%
Cash Only,601.36M,739.14M,385.5M,289.98M,515.37M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.24%,7.46%,3.71%,2.76%,4.77%
Total Accounts Receivable,1.34B,1.38B,1.36B,1.46B,1.53B
Total Accounts Receivable Growth,-,2.42%,-1.28%,7.51%,4.67%
"Accounts Receivables, Net",1.34B,1.38B,1.36B,1.46B,1.53B
"Accounts Receivables, Gross",1.38B,1.42B,1.4B,1.5B,1.57B
Bad Debt/Doubtful Accounts,(40.53M),(41.6M),(40.13M),(40.32M),(37.39M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.51,1.47,1.46,1.40,1.41
Inventories,977.83M,1.06B,1.19B,1.32B,1.38B
Finished Goods,332.47M,333.02M,377.8M,413.72M,442.05M
Work in Progress,206.29M,232.26M,271.66M,291.6M,308.71M
Raw Materials,569.18M,624.37M,671.2M,750.56M,762.07M
Progress Payments & Other,(130.11M),(133.82M),(129.56M),(133.53M),(131.21M)
Other Current Assets,136.21M,127.84M,126.16M,159.12M,164.77M
Miscellaneous Current Assets,136.21M,127.84M,126.16M,159.12M,164.77M
Total Current Assets,3.06B,3.3B,3.06B,3.23B,3.59B
"Net Property, Plant & Equipment",895.55M,906.27M,1.13B,960.13M,963.78M
"Property, Plant & Equipment - Gross",2.43B,2.46B,2.63B,2.48B,2.49B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.54B,1.55B,1.51B,1.52B,1.53B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.18B,5.19B,5.92B,5.84B,5.78B
Net Goodwill,4.13B,4.15B,4.56B,4.53B,4.48B
Net Other Intangibles,1.05B,1.04B,-,-,-
Other Assets,499.12M,507.37M,264.18M,470.61M,476.57M
Total Assets,9.63B,9.9B,10.4B,10.5B,10.81B
Total Assets Growth,-,2.83%,5.06%,0.94%,2.92%
