Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,623.77M,668.31M,490.48M,486.91M,436.63M
Cash & Short Term Investments Growth,-,7.14%,-26.61%,-0.73%,-10.33%
Cash Only,623.77M,668.31M,490.48M,486.91M,436.63M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,36.23%,37.88%,29.34%,29.09%,26.14%
Total Accounts Receivable,235.95M,238.91M,255.33M,246.98M,274.96M
Total Accounts Receivable Growth,-,1.25%,6.87%,-3.27%,11.33%
"Accounts Receivables, Net",235.95M,238.91M,255.33M,246.98M,274.96M
"Accounts Receivables, Gross",235.95M,238.91M,257.2M,246.98M,274.96M
Bad Debt/Doubtful Accounts,-,-,(1.87M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.38,4.18,5.26,4.09,3.87
Inventories,59.18M,64.56M,68.33M,77.71M,70.2M
Finished Goods,-,-,61.99M,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,6.33M,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,61.94M,54.22M,46.41M,49.64M,64.09M
Miscellaneous Current Assets,61.94M,54.22M,46.41M,49.64M,64.09M
Total Current Assets,980.85M,1.03B,860.54M,861.24M,845.87M
"Net Property, Plant & Equipment",516.38M,511.55M,534.77M,528.75M,536.59M
"Property, Plant & Equipment - Gross",818.88M,822.88M,853.23M,858.04M,876.1M
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,302.5M,311.34M,318.47M,329.29M,339.51M
Total Investments and Advances,82.5M,82.5M,141.27M,125.84M,125.84M
Other Long-Term Investments,82.5M,82.5M,141.27M,125.84M,125.84M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,103.77M,106.41M,110.59M,112.94M,119.29M
Net Goodwill,15.03M,15.03M,15.03M,16.15M,16.15M
Net Other Intangibles,88.73M,91.37M,-,-,-
Other Assets,36.64M,36.32M,22.54M,43.01M,40.65M
Total Assets,1.72B,1.76B,1.67B,1.67B,1.67B
Total Assets Growth,-,2.47%,-5.24%,0.13%,-0.20%
