Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.24B,1.17B,577.27M,439.99M,456.23M
Cash & Short Term Investments Growth,-,-6.26%,-50.46%,-23.78%,3.69%
Cash Only,1.21B,1.14B,554.96M,420.58M,355.74M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.98%,6.61%,3.23%,2.57%,2.67%
Total Accounts Receivable,2.55B,2.49B,2.41B,2.5B,2.63B
Total Accounts Receivable Growth,-,-2.34%,-3.23%,3.78%,5.32%
"Accounts Receivables, Net",1.95B,2.03B,1.96B,2.04B,2.09B
"Accounts Receivables, Gross",1.95B,2.03B,1.96B,2.04B,2.09B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,603.21M,463.48M,-,-,-
Accounts Receivable Turnover,1.14,1.18,1.22,1.13,1.11
Inventories,115.37M,114.1M,107.43M,107.72M,109.52M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,69.36M,69.06M,72.52M,79.26M,63.54M
Miscellaneous Current Assets,69.36M,69.06M,72.52M,79.26M,63.54M
Total Current Assets,3.98B,3.84B,3.17B,3.13B,3.26B
"Net Property, Plant & Equipment",6.35B,6.32B,6.3B,6.22B,6.08B
"Property, Plant & Equipment - Gross",11.11B,11.16B,11.07B,11.09B,11.07B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,3.29B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.76B,4.84B,4.76B,4.87B,4.99B
Total Investments and Advances,279.17M,276.76M,288.4M,285.65M,298.02M
Other Long-Term Investments,33.78M,33.6M,49.51M,47.87M,44.56M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.11B,7.09B,7.22B,7.26B,7.2B
Net Goodwill,6.94B,6.94B,7.05B,7.07B,7.02B
Net Other Intangibles,162.48M,152.12M,-,-,-
Other Assets,95.49M,101.47M,113.77M,185.17M,257.58M
Total Assets,17.81B,17.63B,17.87B,17.09B,17.1B
Total Assets Growth,-,-0.99%,1.34%,-4.39%,0.08%
