Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,609M,717M,459M,487M,456M
Cash & Short Term Investments Growth,-,17.73%,-35.98%,6.10%,-6.37%
Cash Only,609M,717M,459M,487M,456M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.78%,4.41%,2.96%,3.08%,3.07%
Total Accounts Receivable,1.74B,1.71B,1.58B,1.65B,1.64B
Total Accounts Receivable Growth,-,-1.90%,-7.44%,4.30%,-0.79%
"Accounts Receivables, Net",1.29B,1.36B,1.09B,1.19B,1.21B
"Accounts Receivables, Gross",1.29B,1.36B,1.11B,1.19B,1.21B
Bad Debt/Doubtful Accounts,-,-,(17M),-,-
Other Receivable,447M,351M,-,-,-
Accounts Receivable Turnover,1.53,1.59,1.70,1.64,1.70
Inventories,1.5B,1.63B,1.5B,1.67B,1.83B
Finished Goods,945M,1.05B,1.01B,1.05B,1.24B
Work in Progress,240M,258M,273M,311M,283M
Raw Materials,580M,644M,589M,677M,692M
Progress Payments & Other,(264M),(318M),(365M),(365M),(390M)
Other Current Assets,888M,821M,1.1B,1.12B,86M
Miscellaneous Current Assets,888M,821M,1.1B,1.12B,86M
Total Current Assets,4.74B,4.88B,4.65B,4.93B,4B
"Net Property, Plant & Equipment",5.34B,5.36B,5.21B,5.2B,5.17B
"Property, Plant & Equipment - Gross",13.24B,13.32B,12.9B,12.96B,12.95B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,7.9B,7.97B,7.68B,7.76B,7.78B
Total Investments and Advances,48M,38M,145M,50M,97M
Other Long-Term Investments,48M,38M,49M,50M,97M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.44B,5.45B,5B,4.97B,4.91B
Net Goodwill,4.05B,4.04B,3.64B,3.67B,3.66B
Net Other Intangibles,1.39B,1.41B,-,-,-
Other Assets,529M,539M,513M,657M,696M
Total Assets,16.1B,16.26B,15.52B,15.81B,14.88B
Total Assets Growth,-,1.00%,-4.55%,1.85%,-5.89%
