Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.81B,1.39B,1.67B,1.71B,1.9B
Cash & Short Term Investments Growth,-,-23.28%,19.80%,2.44%,11.35%
Cash Only,1.81B,1.39B,1.55B,1.71B,1.9B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,726.38M,792.1M,869.16M,780.4M,812.77M
Short Term Receivables Growth,-,9.05%,9.73%,-10.21%,4.15%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,9.19M,891K,60.83M,896K,865K
"Net Property, Plant & Equipments",16.52B,16.63B,16.73B,16.75B,16.91B
Other Assets (Including Intangibles),8.87B,8.96B,8.29B,8.51B,9.11B
Other Assets,1.41B,1.56B,982.34M,1.32B,1.55B
Intangible Assets,7.46B,7.4B,7.31B,7.19B,7.57B
Total Assets,27.93B,27.77B,27.92B,28.02B,29.04B
Total Assets Growth,-,-0.56%,0.52%,0.37%,3.62%
Return On Average Assets,-,-,-,-,1.82%
