Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,58.18M,60.95M,58.64M,108.55M,48.46M
Cash & Short Term Investments Growth,-,4.77%,-3.80%,85.12%,-55.36%
Cash Only,58.18M,60.95M,58.64M,108.55M,48.46M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,238.86M,213.99M,341.03M,205.42M,175.35M
Short Term Receivables Growth,-,-10.41%,59.37%,-39.77%,-14.64%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,175.78M,183.14M,191.83M,169.7M,154.51M
"Net Property, Plant & Equipments",70.55M,69.76M,68.97M,68.16M,67.35M
Other Assets (Including Intangibles),53.48M,63.09M,59.56M,56.59M,67.75M
Other Assets,53.48M,63.09M,59.56M,56.59M,67.75M
Intangible Assets,-,-,-,-,-
Total Assets,12.75B,12.79B,13B,12.77B,12.56B
Total Assets Growth,-,0.33%,1.64%,-1.75%,-1.66%
Return On Average Assets,-,-,-,-,3.77%
