Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,8.02B,6.62B,6.01B,8.14B,8.35B
Cash & Short Term Investments Growth,-,-17.44%,-9.26%,35.47%,2.64%
Cash Only,8.01B,6.62B,5.81B,8.14B,8.32B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,33.15%,30.16%,27.87%,33.10%,33.75%
Total Accounts Receivable,1.84B,1.59B,1.35B,1.83B,2.28B
Total Accounts Receivable Growth,-,-13.70%,-15.00%,35.58%,24.55%
"Accounts Receivables, Net",1.44B,1.49B,1.26B,1.74B,2.17B
"Accounts Receivables, Gross",1.53B,1.57B,1.33B,1.8B,2.24B
Bad Debt/Doubtful Accounts,(86M),(81M),(65M),(66M),(62M)
Other Receivable,399M,102M,-,-,-
Accounts Receivable Turnover,1.15,1.87,1.69,1.23,1.40
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.26B,838M,827M,1.18B,1.16B
Miscellaneous Current Assets,1.26B,838M,827M,1.18B,1.16B
Total Current Assets,11.11B,9.04B,8.18B,11.15B,11.79B
"Net Property, Plant & Equipment",2.73B,2.71B,2.59B,2.56B,2.54B
"Property, Plant & Equipment - Gross",-,-,5.16B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,3.24B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,2.57B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.83B,8.74B,8.56B,8.53B,8.44B
Net Goodwill,7.37B,7.32B,7.17B,7.17B,7.14B
Net Other Intangibles,1.46B,1.43B,-,-,-
Other Assets,663M,655M,1.45B,1.47B,1.15B
Total Assets,24.18B,21.94B,21.55B,24.58B,24.74B
Total Assets Growth,-,-9.25%,-1.80%,14.06%,0.68%
