Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,59.75M,81.28M,76.19M,72.67M,70.17M
Cash & Short Term Investments Growth,-,36.04%,-6.26%,-4.63%,-3.44%
Cash Only,59.75M,81.28M,76.19M,72.67M,70.17M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,268.78M,306.12M,419.19M,394.11M,476.34M
Short Term Receivables Growth,-,13.89%,36.94%,-5.98%,20.86%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,300M,300M,300.27M,313.98M,331.34M
"Net Property, Plant & Equipments",233.93M,229.18M,227.95M,236.96M,266.83M
Other Assets (Including Intangibles),126.33M,145.34M,158.9M,158.02M,43.06M
Other Assets,126.33M,145.34M,158.9M,158.02M,43.06M
Intangible Assets,-,-,-,-,-
Total Assets,9.46B,9.71B,10.47B,10.59B,11.04B
Total Assets Growth,-,2.59%,7.89%,1.12%,4.22%
Return On Average Assets,-,-,-,-,8.02%
