Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,728.5M,341M,516.8M,365.1M,591.5M
Cash & Short Term Investments Growth,-,-53.19%,51.55%,-29.35%,62.01%
Cash Only,728.5M,341M,516.8M,365.1M,591.5M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.66%,3.28%,4.88%,3.35%,5.36%
Total Accounts Receivable,2.63B,2.5B,2.81B,2.87B,2.89B
Total Accounts Receivable Growth,-,-4.71%,12.24%,2.09%,0.58%
"Accounts Receivables, Net",2.63B,2.5B,2.58B,2.87B,2.89B
"Accounts Receivables, Gross",2.66B,2.54B,2.62B,2.91B,2.92B
Bad Debt/Doubtful Accounts,(32.6M),(32.9M),(37.4M),(39.6M),(36.5M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,0.47,0.48,0.50,0.47,0.50
Inventories,1.4B,1.45B,1.41B,1.59B,1.59B
Finished Goods,467.3M,494.5M,559.2M,556.5M,583.8M
Work in Progress,850.3M,869.5M,730.8M,889.6M,876.1M
Raw Materials,204.6M,209.3M,231.9M,260.8M,246.7M
Progress Payments & Other,(124.1M),(122.8M),(116.2M),(116.2M),(116.2M)
Other Current Assets,443.4M,433.2M,205.2M,474M,450.4M
Miscellaneous Current Assets,443.4M,433.2M,193.2M,474M,450.4M
Total Current Assets,5.2B,4.73B,4.94B,5.3B,5.52B
"Net Property, Plant & Equipment",925.1M,922.5M,952.2M,938.8M,925.6M
"Property, Plant & Equipment - Gross",1.41B,1.43B,1.46B,1.48B,1.48B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,482.9M,509.6M,512.5M,537.3M,556.4M
Total Investments and Advances,29.1M,29.6M,30.3M,31.1M,28.1M
Other Long-Term Investments,22.5M,21M,21.1M,20.9M,18M
Long-Term Note Receivables,75.6M,69.6M,59.7M,68M,68.4M
Intangible Assets,4.04B,4.01B,4.13B,3.95B,3.9B
Net Goodwill,1.47B,1.46B,1.46B,1.46B,1.46B
Net Other Intangibles,2.57B,2.55B,-,-,-
Other Assets,446.7M,436.4M,254M,390.5M,387.6M
Total Assets,10.94B,10.41B,10.58B,10.9B,11.04B
Total Assets Growth,-,-4.86%,1.64%,3.06%,1.28%
