Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.34B,2.49B,3.27B,2.4B,1.98B
Cash & Short Term Investments Growth,-,6.38%,31.33%,-26.54%,-17.44%
Cash Only,2.34B,2.49B,3.27B,2.4B,1.98B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.51%,13.98%,16.42%,13.44%,11.50%
Total Accounts Receivable,5.94B,6.19B,7.52B,6.34B,6.25B
Total Accounts Receivable Growth,-,4.31%,21.51%,-15.81%,-1.38%
"Accounts Receivables, Net",5.94B,6.19B,7.52B,6.34B,6.25B
"Accounts Receivables, Gross",6.03B,6.28B,7.59B,6.4B,6.31B
Bad Debt/Doubtful Accounts,(90.2M),(84.6M),(68.5M),(66.6M),(58.8M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,0.42,0.41,0.39,0.41,0.44
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,504.9M,450M,436.9M,532.5M,529.5M
Miscellaneous Current Assets,504.9M,450M,436.9M,532.5M,529.5M
Total Current Assets,8.78B,9.13B,11.23B,9.27B,8.76B
"Net Property, Plant & Equipment",1.99B,2.18B,2.22B,2.16B,2.09B
"Property, Plant & Equipment - Gross",3.19B,3.38B,3.42B,3.39B,3.33B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,513.5M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.2B,1.2B,1.2B,1.23B,1.24B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.84B,5.78B,5.76B,5.72B,5.66B
Net Goodwill,4.94B,4.91B,4.91B,4.9B,4.86B
Net Other Intangibles,892.7M,869.7M,-,-,-
Other Assets,411.1M,431.8M,399.6M,416.1M,444.8M
Total Assets,17.32B,17.81B,19.91B,17.88B,17.25B
Total Assets Growth,-,2.79%,11.82%,-10.19%,-3.53%
