Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.77B,2.34B,2.18B,1.64B,1.16B
Cash & Short Term Investments Growth,-,32.47%,-6.89%,-24.53%,-29.45%
Cash Only,1.74B,2.31B,2.15B,1.61B,1.13B
Total Short-Term Investments,28.3M,29.1M,-,-,-
Short-Term Receivables,1.02B,957.7M,877.8M,756.3M,747.4M
Short Term Receivables Growth,-,-6.44%,-8.34%,-13.84%,-1.18%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,8.76B,9.26B,9.39B,9.36B,9.01B
"Net Property, Plant & Equipments",524.8M,512.5M,774.7M,499.6M,491.4M
Other Assets (Including Intangibles),20.69B,19.2B,18.9B,18.97B,18.21B
Other Assets,4.46B,3.08B,2.79B,2.92B,2.39B
Intangible Assets,16.23B,16.12B,16.11B,16.05B,15.82B
Total Assets,33.25B,32.81B,32.69B,31.85B,30.19B
Total Assets Growth,-,-1.31%,-0.39%,-2.54%,-5.23%
Return On Average Assets,-,-,-,-,4.71%
