Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,570.92M,529.6M,355.55M,144.53M,123.84M
Cash & Short Term Investments Growth,-,-7.24%,-32.86%,-59.35%,-14.31%
Cash Only,570.92M,529.6M,355.55M,144.53M,123.84M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.03%,8.13%,5.11%,2.06%,1.71%
Total Accounts Receivable,1.29B,1.44B,1.72B,1.75B,1.78B
Total Accounts Receivable Growth,-,11.52%,19.42%,1.30%,1.78%
"Accounts Receivables, Net",1.29B,1.44B,1.51B,1.75B,1.78B
"Accounts Receivables, Gross",1.31B,1.46B,1.52B,1.75B,1.78B
Bad Debt/Doubtful Accounts,(16.3M),(17M),(16.8M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.25,2.18,2.03,2.00,2.16
Inventories,-,-,25.03M,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,25.03M,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,344.46M,292.6M,209.55M,379.62M,381.3M
Miscellaneous Current Assets,344.46M,292.6M,209.55M,379.62M,381.3M
Total Current Assets,2.21B,2.27B,2.31B,2.27B,2.28B
"Net Property, Plant & Equipment",3.72B,3.85B,4.25B,4.23B,4.45B
"Property, Plant & Equipment - Gross",6.11B,6.35B,6.86B,6.95B,7.29B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.39B,2.5B,2.61B,2.72B,2.85B
Total Investments and Advances,34.6M,30.3M,32.3M,28.2M,24.3M
Other Long-Term Investments,34.6M,30.3M,32.3M,28.2M,24.3M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,204.89M,201.71M,191.09M,241.63M,236.49M
Net Goodwill,-,-,100.52M,-,111.7M
Net Other Intangibles,204.89M,201.71M,-,-,-
Other Assets,156.88M,161.45M,6.33M,258.05M,262.16M
Total Assets,6.32B,6.51B,6.95B,7.03B,7.25B
Total Assets Growth,-,3.00%,6.77%,1.12%,3.14%
