Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,230.06M,483.47M,334.66M,370.32M,296.8M
Cash & Short Term Investments Growth,-,110.15%,-30.78%,10.65%,-19.85%
Cash Only,230.06M,483.47M,334.66M,370.32M,296.8M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,200.12M,235.08M,254.68M,253.69M,260.14M
Short Term Receivables Growth,-,17.47%,8.34%,-0.39%,2.54%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,792.14M,1.25B,1.21B,1.33B,1.07B
"Net Property, Plant & Equipments",99.92M,149.2M,147.46M,145.78M,144.09M
Other Assets (Including Intangibles),372.18M,511.15M,382.95M,468.92M,495.97M
Other Assets,372.18M,511.15M,364.55M,468.92M,495.97M
Intangible Assets,-,-,18.4M,-,-
Total Assets,11.56B,18.59B,18.46B,18.54B,18.2B
Total Assets Growth,-,60.83%,-0.71%,0.46%,-1.87%
Return On Average Assets,-,-,-,-,5.63%
