Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,306M,286M,270M,493M,311M
Cash & Short Term Investments Growth,-,-6.54%,-5.59%,82.59%,-36.92%
Cash Only,306M,286M,270M,493M,311M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.72%,1.61%,1.51%,2.64%,1.72%
Total Accounts Receivable,2.34B,2.4B,2.21B,2.52B,2.47B
Total Accounts Receivable Growth,-,2.52%,-8.00%,14.00%,-1.87%
"Accounts Receivables, Net",2.34B,2.4B,2.04B,2.52B,2.47B
"Accounts Receivables, Gross",2.34B,2.4B,2.09B,2.52B,2.47B
Bad Debt/Doubtful Accounts,-,-,(55M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.02,2.09,2.25,2.03,2.05
Inventories,2.11B,2.1B,2.24B,2.27B,2.28B
Finished Goods,1.35B,1.32B,1.44B,1.44B,1.41B
Work in Progress,235M,234M,242M,249M,265M
Raw Materials,442M,483M,493M,514M,533M
Progress Payments & Other,79M,60M,62M,64M,67M
Other Current Assets,816M,843M,849M,629M,604M
Miscellaneous Current Assets,816M,843M,849M,629M,604M
Total Current Assets,5.57B,5.63B,5.57B,5.9B,5.66B
"Net Property, Plant & Equipment",8.02B,7.96B,8.59B,8.11B,7.93B
"Property, Plant & Equipment - Gross",18.46B,18.34B,19.02B,18.71B,18.45B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,10.45B,10.38B,10.43B,10.59B,10.52B
Total Investments and Advances,350M,340M,290M,266M,270M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.64B,2.61B,2.65B,3.1B,3B
Net Goodwill,1.83B,1.8B,1.84B,2.18B,2.1B
Net Other Intangibles,803M,810M,-,-,-
Other Assets,1.25B,1.24B,747M,1.29B,1.26B
Total Assets,17.83B,17.78B,17.84B,18.67B,18.11B
Total Assets Growth,-,-0.29%,0.35%,4.68%,-2.99%
