Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.97B,279M,1.15B,348M,417M
Cash & Short Term Investments Growth,-,-85.83%,311.11%,-69.66%,19.83%
Cash Only,1.97B,279M,1.15B,348M,417M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.81%,0.40%,1.58%,0.50%,0.60%
Total Accounts Receivable,1.42B,1.43B,1.61B,1.66B,2.06B
Total Accounts Receivable Growth,-,1.20%,12.42%,3.10%,24.20%
"Accounts Receivables, Net",1.42B,1.43B,1.61B,1.66B,2.06B
"Accounts Receivables, Gross",1.42B,1.43B,1.61B,1.66B,2.06B
Bad Debt/Doubtful Accounts,-,-,(1M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.29,2.76,2.78,2.97,2.63
Inventories,396M,457M,562M,591M,690M
Finished Goods,-,-,562M,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,502M,517M,509M,433M,438M
Miscellaneous Current Assets,502M,517M,509M,433M,438M
Total Current Assets,4.28B,2.69B,3.83B,3.03B,3.61B
"Net Property, Plant & Equipment",34.57B,35.58B,35.97B,35.56B,35.53B
"Property, Plant & Equipment - Gross",-,-,54.76B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,18.79B,-,-
Total Investments and Advances,8.09B,8B,7.87B,7.68B,7.54B
Other Long-Term Investments,435M,376M,294M,138M,74M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,21.44B,21.78B,21.59B,21.53B,21.47B
Net Goodwill,19.85B,20.03B,19.91B,19.91B,19.91B
Net Other Intangibles,1.59B,1.74B,-,-,-
Other Assets,1.31B,1.3B,1.04B,1.32B,1.24B
Total Assets,70.18B,69.64B,72.37B,69.14B,69.39B
Total Assets Growth,-,-0.76%,3.92%,-4.47%,0.37%
