Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,468M,771M,875M,428M,466M
Cash & Short Term Investments Growth,-,64.74%,13.49%,-51.09%,8.88%
Cash Only,468M,771M,875M,428M,466M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.59%,5.81%,6.60%,3.28%,3.62%
Total Accounts Receivable,2.27B,2.29B,2.19B,2.42B,2.42B
Total Accounts Receivable Growth,-,0.75%,-4.33%,10.51%,0.17%
"Accounts Receivables, Net",2.27B,2.29B,2.19B,2.42B,2.42B
"Accounts Receivables, Gross",2.27B,2.29B,2.22B,2.42B,2.42B
Bad Debt/Doubtful Accounts,-,-,(27M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.52,1.52,1.59,1.44,1.48
Inventories,251M,268M,274M,279M,286M
Finished Goods,-,-,93M,-,-
Work in Progress,-,-,27M,-,-
Raw Materials,-,-,154M,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,273M,242M,166M,361M,351M
Miscellaneous Current Assets,273M,242M,166M,361M,351M
Total Current Assets,3.26B,3.57B,3.5B,3.49B,3.53B
"Net Property, Plant & Equipment",1.29B,1.3B,1.28B,1.27B,1.28B
"Property, Plant & Equipment - Gross",-,-,1.75B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,472M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,470M,-,-
Total Investments and Advances,-,-,25M,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.04B,7.97B,7.92B,7.85B,7.71B
Net Goodwill,6.71B,6.65B,6.74B,6.74B,6.67B
Net Other Intangibles,1.33B,1.32B,-,-,-
Other Assets,448M,441M,529M,418M,367M
Total Assets,13.04B,13.28B,13.26B,13.03B,12.89B
Total Assets Growth,-,1.89%,-0.15%,-1.74%,-1.10%
