Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,664M,772M,1.39B,1.04B,546M
Cash & Short Term Investments Growth,-,16.27%,80.44%,-25.20%,-47.60%
Cash Only,664M,772M,1.39B,1.04B,546M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.71%,3.15%,5.45%,4.13%,2.22%
Total Accounts Receivable,1.93B,2.04B,1.98B,2.11B,2.28B
Total Accounts Receivable Growth,-,5.64%,-2.94%,6.56%,8.05%
"Accounts Receivables, Net",1.93B,2.04B,1.98B,2.11B,2.28B
"Accounts Receivables, Gross",1.93B,2.04B,2.17B,2.13B,2.3B
Bad Debt/Doubtful Accounts,-,-,(187M),(19M),(14M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.63,1.93,2.24,1.99,2.34
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,202M,176M,251M,264M,278M
Miscellaneous Current Assets,202M,176M,251M,264M,278M
Total Current Assets,2.8B,2.99B,3.63B,3.42B,3.11B
"Net Property, Plant & Equipment",2.17B,2.14B,2.57B,2.56B,2.53B
"Property, Plant & Equipment - Gross",-,-,3.42B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,850M,-,-
Total Investments and Advances,407M,390M,387M,361M,363M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,165M,141M,144M,141M,146M
Intangible Assets,18.13B,17.99B,18B,17.96B,17.67B
Net Goodwill,9.14B,9.08B,9.07B,9.07B,8.92B
Net Other Intangibles,8.98B,8.9B,-,-,-
Other Assets,627M,627M,604M,575M,572M
Total Assets,24.5B,24.51B,25.55B,25.24B,24.62B
Total Assets Growth,-,0.01%,4.27%,-1.23%,-2.47%
