Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,291.8M,312.6M,351.7M,338.4M,325.8M
Cash & Short Term Investments Growth,-,7.13%,12.51%,-3.78%,-3.72%
Cash Only,291.8M,312.6M,351.7M,338.4M,325.8M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.28%,2.43%,2.73%,2.61%,2.51%
Total Accounts Receivable,500.4M,541M,549.5M,516.7M,493.1M
Total Accounts Receivable Growth,-,8.11%,1.57%,-5.97%,-4.57%
"Accounts Receivables, Net",500.4M,541M,549.5M,516.7M,493.1M
"Accounts Receivables, Gross",500.4M,541M,554.7M,516.7M,493.1M
Bad Debt/Doubtful Accounts,-,-,(5.2M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.11,2.86,3.15,2.95,3.12
Inventories,1.15B,1.2B,1.18B,1.24B,1.34B
Finished Goods,584.7M,606.9M,556.2M,571.5M,630.9M
Work in Progress,-,-,-,-,-
Raw Materials,563.1M,595.5M,626.1M,672.7M,713.7M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,112.6M,104.9M,112.3M,139.7M,161.2M
Miscellaneous Current Assets,112.6M,104.9M,70.6M,139.7M,161.2M
Total Current Assets,2.05B,2.16B,2.2B,2.24B,2.32B
"Net Property, Plant & Equipment",1.11B,1.11B,1.42B,1.14B,1.14B
"Property, Plant & Equipment - Gross",-,-,2.76B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,416.1M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.34B,-,-
Total Investments and Advances,-,-,301.3M,-,-
Other Long-Term Investments,-,-,137.3M,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.92B,8.86B,8.79B,8.78B,8.72B
Net Goodwill,5.43B,5.38B,5.34B,5.33B,5.3B
Net Other Intangibles,3.49B,3.48B,-,-,-
Other Assets,721.8M,752.2M,202.2M,788.8M,777.2M
Total Assets,12.81B,12.88B,12.91B,12.94B,12.96B
Total Assets Growth,-,0.58%,0.17%,0.27%,0.13%
