Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,888M,1.4B,1.75B,772M,909M
Cash & Short Term Investments Growth,-,57.43%,25.32%,-55.94%,17.75%
Cash Only,888M,1.4B,1.75B,772M,909M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,5.84B,5.62B,5.59B,5.96B,6.29B
Short Term Receivables Growth,-,-3.68%,-0.68%,6.75%,5.42%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,257M,253M,410M,429M,241M
"Net Property, Plant & Equipments",2.8B,2.72B,2.72B,2.69B,2.61B
Other Assets (Including Intangibles),22.19B,21.79B,23.11B,23.03B,22.63B
Other Assets,3.69B,3.55B,3.51B,4.06B,4.13B
Intangible Assets,18.49B,18.24B,19.6B,18.97B,18.5B
Total Assets,32.95B,32.98B,34.39B,33.69B,33.44B
Total Assets Growth,-,0.09%,4.26%,-2.04%,-0.74%
Return On Average Assets,-,-,-,-,9.32%
