Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,4.61B,4.36B,4.44B,4.8B,4.31B
Cash Growth,-,-5.45%,1.86%,8.25%,-10.24%
Total Investment Assets,2.39B,3.06B,3.41B,3.21B,3.79B
Investments Growth,-,28.08%,11.71%,-6.00%,17.98%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,212M,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,-,-,-,-,-
Premium Balance Growth,-,-,-,-,-
"Net Property, Plant & Equipment",383M,385M,396M,393M,401M
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),3.09B,3.15B,3.86B,3.84B,3.93B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,-,-,-,-,-
Tangible Other Assets,2.16B,2.24B,2.6B,2.54B,2.65B
Intangible Assets,929M,915M,1.25B,1.31B,1.29B
Total Assets,10.53B,11.03B,12.22B,12.36B,12.57B
Assets - Total - 1 Year Growth,-,4.78%,10.79%,1.12%,1.72%
Return On Average Assets,-,-,-,-,6.05%
