Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,430M,332M,422M,517M,484M
Cash & Short Term Investments Growth,-,-22.79%,27.11%,22.51%,-6.38%
Cash Only,430M,332M,422M,517M,484M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,559M,552M,588M,621M,652M
Short Term Receivables Growth,-,-1.25%,6.52%,5.61%,4.99%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,295M,259M,275M,292M,224M
"Net Property, Plant & Equipments",876M,878M,875M,981M,976M
Other Assets (Including Intangibles),15.52B,15.98B,17.59B,18.04B,19.88B
Other Assets,4B,4.58B,6.35B,6.95B,9.06B
Intangible Assets,11.53B,11.4B,11.25B,11.09B,10.82B
Total Assets,17.98B,18.4B,20.12B,20.82B,22.6B
Total Assets Growth,-,2.30%,9.34%,3.52%,8.51%
Return On Average Assets,-,-,-,-,6.23%
