Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.81B,4.8B,5.08B,4.39B,4.36B
Cash & Short Term Investments Growth,-,-0.23%,5.86%,-13.44%,-0.82%
Cash Only,4.58B,4.64B,4.99B,4.32B,4.31B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,11.82%,12.03%,12.51%,11.01%,10.98%
Total Accounts Receivable,341M,334M,337M,413M,364M
Total Accounts Receivable Growth,-,-2.05%,0.90%,22.55%,-11.86%
"Accounts Receivables, Net",341M,334M,337M,413M,364M
"Accounts Receivables, Gross",341M,334M,337M,413M,364M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,8.90,8.70,9.91,7.18,8.69
Inventories,1.9B,1.94B,1.79B,1.76B,1.67B
Finished Goods,981M,1B,915M,856M,794M
Work in Progress,149M,153M,132M,143M,125M
Raw Materials,767M,786M,740M,757M,755M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,401M,404M,496M,496M,511M
Miscellaneous Current Assets,401M,404M,496M,496M,511M
Total Current Assets,7.45B,7.47B,7.7B,7.06B,6.91B
"Net Property, Plant & Equipment",24.5B,23.71B,24.12B,24.07B,24.13B
"Property, Plant & Equipment - Gross",-,-,40.11B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,15.99B,-,-
Total Investments and Advances,3.37B,3.32B,3.39B,3.44B,3.3B
Other Long-Term Investments,443M,393M,457M,455M,321M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.77B,2.77B,2.77B,2.77B,2.77B
Net Goodwill,2.77B,2.77B,2.77B,2.77B,2.77B
Net Other Intangibles,-,-,-,-,-
Other Assets,2.27B,2.28B,2.31B,2.35B,2.37B
Total Assets,40.68B,39.87B,40.56B,39.91B,39.69B
Total Assets Growth,-,-2.00%,1.75%,-1.60%,-0.56%
