Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,637M,494M,477M,344M,323M
Cash & Short Term Investments Growth,-,-22.45%,-3.44%,-27.88%,-6.10%
Cash Only,637M,494M,477M,344M,323M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.36%,3.40%,3.36%,2.42%,2.24%
Total Accounts Receivable,1.72B,1.69B,1.5B,1.42B,1.56B
Total Accounts Receivable Growth,-,-1.81%,-11.03%,-5.27%,9.92%
"Accounts Receivables, Net",1.72B,1.69B,1.5B,1.42B,1.56B
"Accounts Receivables, Gross",1.72B,1.69B,1.53B,1.42B,1.56B
Bad Debt/Doubtful Accounts,-,-,(27M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.58,1.65,1.87,1.68,1.62
Inventories,2.02B,2.1B,2B,2.3B,2.52B
Finished Goods,1.57B,1.63B,1.52B,1.77B,1.99B
Work in Progress,153M,159M,167M,205M,203M
Raw Materials,291M,314M,310M,321M,327M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,285M,338M,288M,349M,350M
Miscellaneous Current Assets,285M,338M,288M,349M,350M
Total Current Assets,4.66B,4.62B,4.26B,4.41B,4.76B
"Net Property, Plant & Equipment",1.65B,1.65B,1.76B,1.74B,1.7B
"Property, Plant & Equipment - Gross",3.59B,3.61B,3.71B,3.63B,3.6B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.94B,1.96B,1.94B,1.89B,1.9B
Total Investments and Advances,5M,4M,3M,-,42M
Other Long-Term Investments,5M,4M,3M,-,42M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.03B,6.98B,6.87B,6.53B,6.43B
Net Goodwill,3.53B,3.52B,3.5B,3.49B,3.45B
Net Other Intangibles,3.5B,3.46B,-,-,-
Other Assets,421M,423M,464M,725M,735M
Total Assets,14.62B,14.52B,14.18B,14.2B,14.45B
Total Assets Growth,-,-0.68%,-2.35%,0.18%,1.72%
