Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.91B,2.3B,2.83B,2.68B,3.55B
Cash & Short Term Investments Growth,-,-20.86%,22.88%,-5.19%,32.13%
Cash Only,2.91B,2.3B,2.83B,2.68B,3.55B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,14.11%,11.51%,13.32%,12.58%,15.73%
Total Accounts Receivable,991M,979M,923M,925M,996M
Total Accounts Receivable Growth,-,-1.21%,-5.72%,0.22%,7.68%
"Accounts Receivables, Net",991M,979M,923M,925M,996M
"Accounts Receivables, Gross",991M,979M,925M,925M,996M
Bad Debt/Doubtful Accounts,-,-,(2M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.62,2.92,3.29,3.39,3.33
Inventories,1.12B,1.17B,1.19B,1.31B,1.46B
Finished Goods,143M,183M,236M,219M,250M
Work in Progress,882M,894M,846M,974M,1.08B
Raw Materials,91M,96M,107M,118M,129M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,274M,266M,286M,356M,317M
Miscellaneous Current Assets,274M,266M,286M,356M,317M
Total Current Assets,5.29B,4.72B,5.23B,5.28B,6.32B
"Net Property, Plant & Equipment",2.38B,2.51B,2.86B,2.81B,2.91B
"Property, Plant & Equipment - Gross",6.84B,-,7.54B,7.62B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.46B,-,4.68B,4.81B,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,11.86B,11.71B,11.66B,11.53B,11.46B
Net Goodwill,9.97B,9.97B,9.96B,9.95B,9.93B
Net Other Intangibles,1.89B,1.74B,-,-,-
Other Assets,1.09B,1.07B,1.12B,1.7B,1.85B
Total Assets,20.62B,20.01B,21.25B,21.32B,22.54B
Total Assets Growth,-,-2.97%,6.19%,0.34%,5.71%
