Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,649.46M,564.66M,717M,541.31M,420.53M
Cash & Short Term Investments Growth,-,-13.06%,26.98%,-24.50%,-22.31%
Cash Only,484.2M,339.76M,462.56M,262.12M,196.13M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,14.32%,12.24%,14.87%,11.46%,8.77%
Total Accounts Receivable,600.06M,654.05M,599.1M,681.39M,701.37M
Total Accounts Receivable Growth,-,9.00%,-8.40%,13.74%,2.93%
"Accounts Receivables, Net",548.75M,591.78M,567.47M,669.04M,680.1M
"Accounts Receivables, Gross",558.66M,602.13M,577.33M,681.16M,691.95M
Bad Debt/Doubtful Accounts,(9.92M),(10.35M),(9.86M),(12.12M),(11.86M)
Other Receivable,51.31M,62.27M,-,-,-
Accounts Receivable Turnover,2.20,2.14,2.35,2.20,2.38
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,61.6M,60.14M,67.69M,58.26M,87.2M
Miscellaneous Current Assets,61.6M,60.14M,67.69M,58.26M,87.2M
Total Current Assets,1.31B,1.28B,1.38B,1.28B,1.21B
"Net Property, Plant & Equipment",3B,3.11B,3.32B,3.23B,3.38B
"Property, Plant & Equipment - Gross",4.8B,4.97B,5.24B,5.21B,5.42B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.8B,1.86B,1.92B,1.98B,2.05B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,224.6M,224.15M,121.77M,216.39M,206.05M
Total Assets,4.53B,4.61B,4.82B,4.72B,4.79B
Total Assets Growth,-,1.74%,4.52%,-2.05%,1.51%
