Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,46.55B,39.31B,22.84B,23.39B,21.9B
Cash & Short Term Investments Growth,-,-15.56%,-41.90%,2.41%,-6.36%
Cash Only,30.1B,23.06B,17.94B,22.68B,21.38B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,35.51%,31.98%,21.36%,21.53%,20.04%
Total Accounts Receivable,6.21B,4.48B,4.46B,4.59B,6.74B
Total Accounts Receivable Growth,-,-27.79%,-0.45%,2.82%,46.99%
"Accounts Receivables, Net",5.41B,4.48B,4.46B,4.59B,5.95B
"Accounts Receivables, Gross",5.6B,4.88B,4.85B,4.96B,6.32B
Bad Debt/Doubtful Accounts,(192M),(402M),(392M),(367M),(362M)
Other Receivable,798M,-,-,-,-
Accounts Receivable Turnover,1.81,2.17,2.32,2.29,1.76
Inventories,142M,-,-,-,314M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,2.66B,3.33B,3.78B,3.7B,2.67B
Miscellaneous Current Assets,2.66B,3.33B,3.78B,3.7B,2.67B
Total Current Assets,55.57B,47.12B,31.08B,31.68B,31.63B
"Net Property, Plant & Equipment",9.65B,7.61B,8.03B,8.61B,13.22B
"Property, Plant & Equipment - Gross",18.4B,-,-,-,23.17B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,8.75B,-,-,-,9.96B
Total Investments and Advances,73M,35M,-,-,-
Other Long-Term Investments,73M,35M,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,46.37B,46.04B,45.72B,45.52B,45.25B
Net Goodwill,43.94B,43.86B,43.84B,43.83B,43.81B
Net Other Intangibles,2.43B,2.18B,-,-,-
Other Assets,5.82B,8.73B,8.8B,9.73B,6.42B
Total Assets,131.11B,122.92B,106.9B,108.64B,109.3B
Total Assets Growth,-,-6.24%,-13.04%,1.63%,0.60%
