Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,1.08B,1.19B,1.06B,1.41B,1.27B
Cash & Short Term Investments Growth,-,9.90%,-10.56%,32.37%,-9.59%
Cash Only,1.05B,1.15B,688.7M,323.3M,420.3M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,11.58%,12.71%,10.99%,13.70%,13.01%
Total Accounts Receivable,1.05B,1.08B,1.37B,1.2B,1.32B
Total Accounts Receivable Growth,-,2.93%,26.46%,-12.16%,9.42%
"Accounts Receivables, Net",1.03B,1.06B,1.35B,1.18B,1.3B
"Accounts Receivables, Gross",1.05B,1.08B,1.37B,1.2B,1.31B
Bad Debt/Doubtful Accounts,(16M),(12.1M),(18M),(17.8M),(18.2M)
Other Receivable,24.4M,21.3M,-,-,-
Accounts Receivable Turnover,0.98,1.00,0.81,1.06,0.87
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,4.03B,4.04B,4.2B,4.62B,3.99B
Miscellaneous Current Assets,4B,4.04B,4.14B,4.58B,3.96B
Total Current Assets,6.17B,6.32B,6.63B,7.24B,6.58B
"Net Property, Plant & Equipment",498.8M,499.6M,495.9M,483.5M,480M
"Property, Plant & Equipment - Gross",1.46B,-,-,-,1.54B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,748.3M,-,-,-,832.1M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,966.1M,-,-,-,1.06B
Total Investments and Advances,44.1M,41.9M,36.9M,30.6M,30.5M
Other Long-Term Investments,44.1M,41.9M,36.9M,30.6M,30.5M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.1B,2.08B,2.08B,2.07B,2.06B
Net Goodwill,1.82B,1.82B,1.83B,1.83B,1.83B
Net Other Intangibles,275.8M,260M,-,-,-
Other Assets,418.3M,431.8M,444.7M,465.7M,487M
Total Assets,9.35B,9.37B,9.69B,10.28B,9.8B
Total Assets Growth,-,0.14%,3.42%,6.15%,-4.74%
