Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,542.81M,633.72M,619M,550.33M,590.91M
Cash & Short Term Investments Growth,-,16.75%,-2.32%,-11.09%,7.37%
Cash Only,542.81M,633.72M,619M,550.33M,590.91M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,19.80%,21.62%,20.97%,18.65%,20.14%
Total Accounts Receivable,907.95M,1.01B,984.69M,1.07B,1.09B
Total Accounts Receivable Growth,-,10.76%,-2.08%,8.83%,1.87%
"Accounts Receivables, Net",907.95M,1.01B,984.69M,1.07B,1.09B
"Accounts Receivables, Gross",928.02M,1.03B,1.01B,1.09B,1.11B
Bad Debt/Doubtful Accounts,(20.07M),(20.64M),(21.53M),(22.47M),(22.84M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.74,1.70,1.80,1.69,1.71
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,602.48M,594.4M,664.86M,603.06M,527.83M
Miscellaneous Current Assets,508.03M,507.64M,595.33M,519.15M,454.89M
Total Current Assets,2.05B,2.23B,2.27B,2.22B,2.21B
"Net Property, Plant & Equipment",341.4M,324.94M,322.2M,322.84M,319.27M
"Property, Plant & Equipment - Gross",915.33M,884.92M,890.51M,895.74M,891.68M
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,411.95M,398.43M,403.42M,409.35M,417.21M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,573.93M,559.97M,568.32M,572.9M,572.41M
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,227.67M,226.74M,226.19M,225.78M,224.77M
Net Goodwill,223.24M,222.89M,222.86M,222.86M,222.27M
Net Other Intangibles,4.43M,3.85M,-,-,-
Other Assets,-,-,-,47.04M,50.41M
Total Assets,2.74B,2.93B,2.95B,2.95B,2.93B
Total Assets Growth,-,6.94%,0.70%,-0.05%,-0.57%
