Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,34M,40.1M,29M,39M,119.4M
Cash & Short Term Investments Growth,-,17.94%,-27.68%,34.48%,206.15%
Cash Only,34M,40.1M,29M,39M,119.4M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.14%,0.16%,0.12%,0.16%,0.42%
Total Accounts Receivable,1.3B,1.34B,1.51B,1.47B,1.81B
Total Accounts Receivable Growth,-,3.29%,12.37%,-2.33%,22.52%
"Accounts Receivables, Net",1.16B,1.27B,1.27B,1.31B,1.65B
"Accounts Receivables, Gross",1.2B,1.31B,1.31B,1.35B,1.71B
Bad Debt/Doubtful Accounts,(39.1M),(42.3M),(38.5M),(44M),(50.6M)
Other Receivable,135.7M,77.4M,-,-,-
Accounts Receivable Turnover,2.16,2.19,1.96,2.02,1.89
Inventories,63.9M,68.2M,72.2M,80.5M,100.2M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,63.9M,68.2M,72.2M,80.5M,100.2M
Other Current Assets,83.4M,118.7M,101.2M,103.1M,116M
Miscellaneous Current Assets,7.1M,6M,3M,1.1M,5.3M
Total Current Assets,1.48B,1.57B,1.71B,1.7B,2.14B
"Net Property, Plant & Equipment",9.04B,9.18B,9.49B,9.44B,10.7B
"Property, Plant & Equipment - Gross",19.19B,19.54B,20.04B,20.19B,21.7B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,10.16B,10.35B,10.55B,10.75B,11B
Total Investments and Advances,328.8M,313.2M,286.3M,267M,422.3M
Other Long-Term Investments,328.8M,313.2M,286.3M,267M,422.3M
Long-Term Note Receivables,104.7M,102.5M,98.9M,98.7M,99.9M
Intangible Assets,12.69B,12.96B,13.09B,13.09B,14.57B
Net Goodwill,12.48B,12.74B,12.83B,12.83B,14.17B
Net Other Intangibles,209.6M,228.1M,-,-,-
Other Assets,285.8M,296.5M,286.1M,288.7M,289.8M
Total Assets,23.92B,24.43B,24.96B,24.88B,28.21B
Total Assets Growth,-,2.12%,2.15%,-0.30%,13.40%
