Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,57.28B,63B,103.83B,131.56B,121.92B
Cash & Short Term Investments Growth,-,9.98%,64.81%,26.71%,-7.33%
Cash Only,30.34B,34.32B,62.98B,91.13B,64.55B
Total Short-Term Investments,26.95B,28.68B,-,-,-
Short-Term Receivables,82.25B,86.55B,95.29B,84.07B,77.51B
Short Term Receivables Growth,-,5.24%,10.10%,-11.78%,-7.81%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,372.6B,390.59B,406.84B,391.35B,362.37B
"Net Property, Plant & Equipments",3.14B,3.16B,4.28B,3.5B,3.67B
Other Assets (Including Intangibles),30.38B,32.67B,22.39B,33.27B,32.53B
Other Assets,8.74B,11.19B,1.06B,12.09B,11.5B
Intangible Assets,21.64B,21.48B,21.33B,21.18B,21.03B
Total Assets,574.53B,607.55B,667.27B,680.95B,637.56B
Total Assets Growth,-,5.75%,9.83%,2.05%,-6.37%
Return On Average Assets,-,-,-,-,0.96%
