Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,273.1M,393.7M,561M,278.2M,281.2M
Cash & Short Term Investments Growth,-,44.16%,42.49%,-50.41%,1.08%
Cash Only,273.1M,393.7M,561M,278.2M,281.2M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.55%,6.39%,9.01%,4.55%,4.61%
Total Accounts Receivable,744.5M,766.7M,732.8M,775.4M,732.8M
Total Accounts Receivable Growth,-,2.98%,-4.42%,5.81%,-5.49%
"Accounts Receivables, Net",627.6M,638.6M,620.3M,677.5M,639.9M
"Accounts Receivables, Gross",638.9M,649.8M,631.4M,690.1M,652.6M
Bad Debt/Doubtful Accounts,(11.3M),(11.2M),(11.1M),(12.6M),(12.7M)
Other Receivable,116.9M,128.1M,-,-,-
Accounts Receivable Turnover,1.78,1.83,2.09,1.83,1.94
Inventories,730.7M,741M,725.7M,843.7M,932.7M
Finished Goods,414.4M,422.2M,400.1M,468.3M,515.2M
Work in Progress,162.2M,161.6M,158M,177.7M,188.5M
Raw Materials,154.1M,157.2M,167.6M,197.7M,229M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,58.4M,69.5M,50.1M,49.7M,64.4M
Miscellaneous Current Assets,58.4M,69.5M,50.1M,49.7M,64.4M
Total Current Assets,1.81B,1.97B,2.07B,1.95B,2.01B
"Net Property, Plant & Equipment",1.27B,1.28B,1.3B,1.32B,1.31B
"Property, Plant & Equipment - Gross",3.78B,3.77B,3.78B,3.82B,3.8B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.51B,2.5B,2.48B,2.5B,2.49B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.38B,2.37B,2.34B,2.34B,2.32B
Net Goodwill,2.22B,2.21B,2.19B,2.19B,2.17B
Net Other Intangibles,162.1M,157.4M,-,-,-
Other Assets,364.1M,368.9M,383.5M,370.9M,340.1M
Total Assets,6.01B,6.16B,6.23B,6.12B,6.11B
Total Assets Growth,-,2.55%,1.13%,-1.80%,-0.19%
